comment,comment_clean,label,label_id,rate
"Áo đẹp, form bự.","áo đẹp , form bự",POS,1,4
"Chất k mịn, nhưng ok tạm được.","chất không mịn , nhưng ok tạm được",NEG,0,2
Mua thẻ nhớ ntn.,mua thẻ_nhớ như_thế_nào,NEU,2,3
"Chất lượng k tốt,chạy chập chờn lúc được lúc k.khi không được phải xoá và tải lại phần mềm nên bất tiện.","chất_lượng không tốt , chạy chập_chờn lúc được lúc không . khi không được phải xoá và tải lại phần_mềm nên bất_tiện",NEG,0,1
Giao nhầm sp.,giao nhầm sản_phẩm,NEG,0,1
Shop phục vụ kém.,shop phục_vụ kém,NEG,0,1
Mong chủ shop lưu ý.,mong chủ shop lưu_ý,POS,1,5
Áo form đẹp Chất vải mỏng nhẹ rất thích ạ nhưng sợ bị xù .,áo form đẹp chất vải mỏng nhẹ rất thích ạ nhưng sợ bị xù,POS,1,4
Giá 89k thì hơi đắt. 69k thì ok.,giá 89k thì hơi đắt . 69k thì ok,NEU,2,3
Mặc trời mùa đông chết rét.,mặc trời mùa đông chết rét,NEG,0,1
nói chung là ok nhưng chỉ rụng hơi nhiều.,nói_chung là ok nhưng chỉ rụng hơi nhiều,POS,1,4
"Chất dc, dáng hơi bé so với size, phần bo cổ tay rộng, so với giá tiền thì cũng ok.","chất được , dáng hơi bé so với size , phần bo cổ_tay rộng , so với giá tiền thì cũng ok",NEU,2,3
Hàng may gia công tiền nào của nấy.,hàng may gia_công tiền nào của nấy,NEG,0,2
Chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn Shop phục vụ rất tốt Rất đáng tiền.,chất_lượng sản_phẩm tốt đóng_gói sản_phẩm chắc_chắn shop phục_vụ rất tốt rất xứng_đáng,POS,1,5
Phí ship hơi cao.,phi_ship hơi cao,NEG,0,2
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Trong tầm giá này thì ok.,đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh trong tầm giá này thì ok,POS,1,5
Nhé.,nhé,NEU,2,3
Nhưng với giá này thì chấp nhận được.,nhưng với giá này thì chấp_nhận được,NEU,2,3
"Chất vải mỏng lét, thun co giãn.","chất vải mỏng lét , thun co_giãn",NEG,0,2
Thích. 5 sao.,thích . 5 sao,POS,1,5
"Khách nhờ mở ghn để đc freeship nhận lời xong quay lại khó chịu với khách, khách mua nhớ né shop này ra nhé.","khách nhờ mở ghn để được freeship nhận_lời xong quay lại khó_chịu với khách , khách mua nhớ né shop này ra nhé",NEG,0,1
"Áo vải mỏng, in kém, nhưng với giá này là trên cả tuyệt vời rồi.","áo vải mỏng , in kém , nhưng với giá này là trên cả tuyệt_vời rồi",POS,1,4
Ai mặc size M thì phải mua size L.,ai mặc size mình thì phải mua size l,NEU,2,3
Phom áo rộng.,phom áo_rộng,NEU,2,3
Chất cứng và thô hơn mình nghĩ.,chất cứng và thô hơn mình nghĩ,NEG,0,1
Quần chất đẹp cực :)) lần đầu mua quần legging mà chất vải lạ lạ nhưng mặc rất thích.,quần chất đẹp cực lần đầu mua quần legging mà chất vải lạ lạ nhưng mặc rất thích,POS,1,5
Mua áo ngực màu da thì giao màu đen.!.,mua áo ngực màu_da thì giao màu đen . !,NEG,0,2
"Sản phẩm nhìn đẹp, keo dán dzở.","sản_phẩm nhìn đẹp , keo dán dzở",POS,1,5
Vải thua cả vải đồ e bé .,vải thua cả vải đồ e bé,NEG,0,1
Chị chủ rất nhiệt tình 😍.,chị chủ rất nhiệt_tình,POS,1,4
Hơi thô.,hơi thô,NEG,0,2
"Váy rất thô và cực rộng, không thể mặc được, tiền nào của nấy thôi.","váy rất thô và cực rộng , không_thể mặc được , tiền nào của nấy thôi",NEU,2,3
Thái độ phục vụ kém.,thái_độ phục_vụ kém,NEG,0,2
Sản phẩm đóng gói sơ sài...chất lượng hàng không tốt.,sản_phẩm đóng_gói sơ_sài . chất_lượng hàng không tốt,NEG,0,1
Chất lượng giấy tạm tạm à.,chất_lượng giấy tạm tạm à,NEU,2,3
Shop tl ib của e ik.,shop tl ib của e ik,NEU,2,3
Áo thì đẹp nhưng cái áo lưới hơi nhỏ dù đã đặt size L.,áo thì đẹp nhưng cái áo lưới hơi nhỏ dù đã đặt size l,POS,1,4
Shop đánh giá lại cho mình nhé.,shop đánh_giá lại cho mình nhé,NEU,2,3
"Mua 2 màu đỏ, đen, nude mà giao có 2 màu đen với đỏ.","mua 2 màu đỏ , đen , nude mà giao có 2 màu đen với đỏ",NEG,0,2
Quá xấu như 1 mớ rẻ rách vậy.,quá xấu như 1 mớ rẻ rách_vậy,NEG,0,1
Form áo nhỏ chứ ko phải áo dáng rộng.,form áo nhỏ chứ không phải áo dáng rộng,NEG,0,2
"Bộ mặc ko quá rộng, chất nỉ mỏng hơn mình tưởng nhưng mặc khá ấm, tag uni áo còn khâu ngược.","bộ mặc không quá rộng , chất nỉ mỏng hơn mình tưởng nhưng mặc khá ấm , tag uni áo còn khâu ngược",NEG,0,2
Chất vải mặc rất mềm và mát mỗi tội chát thì shop k trả lời tin nhắn thôi nhưng mà Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh.,chất vải mặc rất mềm và mát mỗi tội chát thì shop không trả_lời tin nhắn thôi nhưng mà chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn rất xứng_đáng thời_gian giao hàng rất nhanh,POS,1,4
"Mỗi tội ko thích màu lắm hic, chọn be vàng nhưng nghiêng về vàng nhiều hơn (lên hình sáng như be bthg vậy thôi chứ ở ngoài vàng đất rõ lắm) Shop tư vấn ok.","mỗi tội không thích màu lắm hic , chọn be vàng nhưng nghiêng về vàng nhiều hơn lên hình sáng như be bthg vậy thôi chứ ở ngoài vàng đất rõ lắm shop tư_vấn ok",NEU,2,3
Size áo ko chính xác.,size áo không chính_xác,NEU,2,3
Áo ko cut top mà cứ như Áo tay dài bth.,áo không cut top mà cứ như áo tay dài bth,NEG,0,2
"Giao hàng nhanh, đóng hộp chắc chắn, đẹp như hình, dép êm chân.","giao hàng nhanh , đóng_hộp chắc_chắn , đẹp như hình , dép êm chân",POS,1,5
"Quần chất vải ok, nhưng size M 45-50kg nhưng mình dưới 45kg mặc đã thấy hơi chật ống chân rồi, sợ mấy tháng cuối ko mặc được nữa thì uổng.","quần chất vải ok , nhưng size mình 45 50kg nhưng mình dưới 45kg mặc đã thấy hơi chật ống_chân rồi , sợ mấy tháng cuối không mặc được nữa thì uổng",NEG,0,2
Áo bị rách :(.,áo bị rách,NEG,0,1
Cảm ơn shop nhiều lắm ạ hic em xin lỗi shop huhuhu.,cảm_ơn shop nhiều lắm ạ hic em xin_lỗi shop huhuhu,POS,1,5
"Tuyệt vời, áo như hình luôn chỉ khác cái túi thôi.","tuyệt_vời , áo như hình luôn chỉ khác cái túi thôi",POS,1,4
Thời gian giao hàng rất nhanh nhưng dễ tràn ra ngoài .,thời_gian giao hàng rất nhanh nhưng dễ tràn ra ngoài,NEU,2,3
Mừng quá chờ đợi sản phẩm cứ tưởng ko như mong đợi.,mừng quá chờ_đợi sản_phẩm cứ tưởng không như mong_đợi,NEU,2,3
Hàng may gia công.,hàng may gia_công,NEU,2,3
Đóng gói sản phẩm rất đẹp và chắc chắn hàng ok lắm nhé.,đóng_gói sản_phẩm rất đẹp và chắc_chắn hàng ok lắm nhé,POS,1,4
"Sp đc đóg gói kĩ, chất son kem lì mịn mượt lâu trôi kể cả khi ăn uống thoải mái màu son của mình là 03 lên màu đúg đẹp luôn shop ơi..rất hài lòng!!!","sản_phẩm được đóg gói kĩ , chất son kem lì mịn mượt lâu trôi kể_cả khi ăn_uống thoải_mái màu son của mình là 03 lên màu đúg đẹp luôn shop ơi . rất hài_lòng ! !",POS,1,5
Quá dở.,quá dở,NEG,0,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất chậm.,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất xứng_đáng thời_gian giao hàng rất chậm,NEU,2,3
Túi zip bị hư nên k kéo bao lại đc :(.,túi zip bị hư nên không kéo bao lại được,NEG,0,2
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn quần mặc êm rất đẹp lại còn thoáng mát nữa ko có vết hằng lên da.,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn quần mặc êm rất đẹp lại còn thoáng mát nữa không có vết hằng lên da,POS,1,4
Còn chất lượng thì chưa biết.,còn chất_lượng thì chưa biết,NEU,2,3
Hàng đẹp chị ah.,hàng đẹp chị ah,NEU,2,3
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.thanks shop.,đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh . thanks shop,POS,1,5
Chất lượng sản phẩm tốt.nhưng to quá.,chất_lượng sản_phẩm tốt . nhưng to quá,POS,1,4
"Hàng chất ok, Thời gian giao hàng rất nhanh.","hàng chất ok , thời_gian giao hàng rất nhanh",POS,1,5
Mở mãi mới đc nên hơi bực 😂.,mở mãi mới được nên hơi bực,NEG,0,2
Mua theo cân nặng nên về không thể mặc đc.,mua theo cân nặng nên về không_thể mặc được,NEG,0,2
Rẻ thế này mà áo đc y hình.,rẻ thế này mà áo được y hình,NEU,2,3
"Chip chất lượng, đẹp từ màu sắc, học tiết đễn chất cotton nhé.","chip chất_lượng , đẹp từ màu_sắc , học tiết đễn chất cotton nhé",POS,1,5
"Đặt 4 áo, shop giao sai màu 3 áo.","đặt 4 áo , shop giao sai màu 3 áo",NEG,0,1
Sp bị bẩn Không đáng tiền.,sản_phẩm bị bẩn không xứng_đáng,NEG,0,2
Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời.,shop phục_vụ rất tốt rất xứng_đáng rất xứng_đáng thời_gian giao hàng rất nhanh đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời,POS,1,5
áo giống hình cả form lẫn màu.,áo giống hình cả form lẫn màu,NEU,2,3
"Hơi mỏng nhưg rất dẹp yk hình, Shop phục vụ rất tốt Rất đáng tiền Chất lượng sản phẩm tuyệt vời.","hơi mỏng nhưg rất dẹp yk hình , shop phục_vụ rất tốt rất xứng_đáng chất_lượng sản_phẩm tuyệt_vời",POS,1,5
Hay.,hay,NEU,2,3
Mình tính cho 3sao nhưng vì áo đẹp nên cho4 sao .,mình tính cho 3sao nhưng vì áo đẹp nên cho4 sao,NEU,2,3
Nhận được vé mà tìm không ta chổ Không biết dịch vụ sao.,nhận được vé mà tìm không ta chổ không biết dịch_vụ sao,NEU,2,3
Hàng hãng chuẩn fullbox :x.,hàng hãng chuẩn fullbox x,NEU,2,3
Giao lộn màu:(((.,giao lộn màu,NEG,0,1
"Mình 45kg ng nhỏ nhưng mặc áo bị cộc, cánh tay áo bị ngắn.","mình 45kg ng nhỏ nhưng mặc áo bị cộc , cánh_tay_áo bị ngắn",NEU,2,3
Nhận đủ nên vẫn đánh giá 5 sao.,nhận đủ nên vẫn đánh_giá 5 sao,POS,1,5
"Đừng ham rẻ mà mua r phí tiền,sz chỉ dành <50kg thôi nhé...m62 ngắn,đổng quần may bị lỗi.","đừng ham rẻ mà mua rồi phí tiền , size chỉ dành 50kg thôi nhé . m62 ngắn , đổng quần may bị lỗi",NEG,0,1
Mỗi tội cỡ L mà ngắn quá.,mỗi tội cỡ l mà ngắn quá,NEU,2,3
"San pham dung mieu ta, anh sang ok, nhung kg duoc gom cho lam.","san pham dung mieu ta , anh sang ok , nhung kg duoc gom cho lam",NEU,2,3
Chất lượng sản phẩm rất kém nhu giẻ lau nha lua gạt ko giống hinh.,chất_lượng sản_phẩm rất kém nhu giẻ lau nha lua gạt không giống hinh,NEG,0,1
Đàn xinh lắm.,đàn xinh lắm,POS,1,5
Tệ quá.,tệ quá,NEG,0,1
"Có điều màu hồng ko giống trong ảnh, hồng hơn nhìn hơi sến 1 tí. 😂😂.","có_điều màu hồng không giống trong ảnh , hồng hơn nhìn hơi sến 1 tí",NEG,0,2
"Áo thì tốt,chất lượng thì được,mà mình chưa hài lòng với cách giao hàng lắm.","áo thì tốt , chất_lượng thì được , mà mình chưa hài_lòng với cách giao hàng lắm",NEU,2,3
Túi dày hơn thì ổn.,túi dày hơn thì ổn,NEU,2,3
Giá rẻ.,giá rẻ,POS,1,4
Chất lượng tương đối.,chất_lượng tương_đối,NEU,2,3
Tốt vừa ý.,tốt vừa_ý,POS,1,4
Vì mấy đánh giá 5* mà mình tin tưởng lầm.,vì mấy đánh_giá 5 mà mình tin_tưởng lầm,NEG,0,1
"Giao hàng nhanh, chất lượng sp rất đẹp, vải ko nhăn, mát, ko quá mỏng, nói chung rất rất hài lòng.","giao hàng nhanh , chất_lượng sản_phẩm rất đẹp , vải không nhăn , mát , không quá mỏng , nói_chung rất rất hài_lòng",POS,1,5
So với áo dạ thì áo hơi mỏng.,so với áo dạ thì áo hơi mỏng,NEG,0,2
"Đồ đẹp lắm, shop tư vấn nhiệt tình.","đồ đẹp lắm , shop tư_vấn nhiệt_tình",POS,1,5
Còn 2 áo croptop và polo thì giống hình ok.,còn 2 áo croptop và polo thì giống hình ok,NEG,0,1
À riêng chăm sóc khách hàng thì phải cho c chủ shop 1 tỉ ⭐️⭐️⭐️⭐️⭐️⭐️⭐️.,à riêng chăm_sóc khách_hàng thì phải cho c chủ shop 1 tỉ,POS,1,5
Chất liệu quá mỏng.,chất_liệu quá mỏng,NEG,0,2
"Size s mặc hơi bị chật vai, tay.","size s mặc hơi bị chật vai , tay",NEU,2,3
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời.,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời,POS,1,5
Chữ black hơi to không giống ảnh lắm.,chữ black hơi to không giống ảnh lắm,NEG,0,1
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Chủ shop rất dễ thương nhiệt tình.,đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất xứng_đáng chủ shop rất dễ_thương nhiệt_tình,POS,1,5
Mỗi khi tắt android box đi xong mở lại rất khó khăn.,mỗi khi tắt android box đi xong mở lại rất khó_khăn,NEU,2,3
...từ lúc hỏi mua cho đến lúc hỏi phát nhầm hàng shop cũng ko thèm tl Shop phục vụ kém.,từ lúc hỏi mua cho đến lúc hỏi phát nhầm hàng shop cũng không thèm tl shop phục_vụ kém,POS,1,4
dep chi ak.,dep chi ak,POS,1,5
Áo tay ngắn còn hình dán chứ không phải in nữa .,áo tay ngắn còn hình dán chứ không phải in nữa,NEG,0,2
Màu trắng chất vải hơi mỏng.,màu trắng chất vải hơi mỏng,NEG,0,2
"Chất dai, mỏng mặc như k mặc ❤️.","chất dai , mỏng mặc như không mặc",NEG,0,2
Shop giao siêu nhanh.,shop giao siêu nhanh,POS,1,5
Chưa đủ độ ngọt.,chưa đủ độ ngọt,NEG,0,2
Áo cỡ nhỏ quá.ko mặc vừa .,áo cỡ nhỏ quá . không mặc vừa,NEG,0,1
Chỉ tiếc 1c quần gân đường may ẩu.,chỉ tiếc 1c quần gân đươ ng may ẩu,NEU,2,3
Mình bé mà size XL ko biết có mặc đc ko.,mình bé mà size xl không biết có mặc được không,NEU,2,3
Một số chỗ bị xước...,một_số chỗ bị xước,NEG,0,2
Chất lượng sản phẩm tuyệt vời hơi chật chút.,chất_lượng sản_phẩm tuyệt_vời hơi chật chút,NEU,2,3
Đẹp mê li.,đẹp mê_li,POS,1,5
hag đep. thời gian giao hag nhah. mih rất ưg ý.,hag đep . thời_gian giao hag nhah . mih rất ưg ý,POS,1,5
Với mình sợ sz m nhỏ nên lấy sz L thì hơi to .,với mình sợ size mình nhỏ nên lấy size l thì hơi to,NEU,2,3
"Chỉ thừa khá nhiều,dáng váy thùng thình bạn nào thích mặc dấu quần style cực rộng thì nên mua ạ.","chỉ thừa khá nhiều , dáng váy thùng_thình bạn nào thích mặc dấu quần style cực rộng thì nên mua ạ",NEU,2,3
Giao đôi xám gót xanh lá.,giao đôi xám gót xanh lá,NEU,2,3
Áo đẹp lắm nha..rất hài lòng nè.,áo đẹp lắm nha . rất hài_lòng nè,POS,1,4
Xấu đưa size ko đúng.,xấu đưa size không đúng,NEU,2,3
Tạm duoc.,tạm duoc,NEU,2,3
Yêu Shop nhiều nhiều Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt.,yêu shop nhiều nhiều chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt,POS,1,4
Nhung khog phải gỗ.,nhung khog phải gỗ,NEU,2,3
"Áo rất dày dặn, đường may cẩn thận, quần cũng khá oke.","áo rất dày_dặn , đường may cẩn_thận , quần cũng khá oke",POS,1,4
Chất len mịn.,chất len mịn,POS,1,5
"Tính mua 2 bộ mà lỡ tay ấn mua 3 bộ k để ý , thế là thiếu mất 1 vỏ gối ôm , ib hỏi shop làm sao để mua thêm vỏ gối ôm 20k nữa mà chắc shop bận quá k kịp trả lời .","tính mua 2 bộ mà lỡ tay_ấn mua 3 bộ không để_ý , thế_là thiếu mất 1 vỏ gối ôm , ib hỏi shop làm_sao để mua thêm vỏ gối ôm 20k nữa mà chắc shop bận quá không kịp trả_lời",NEG,0,2
Nhưng áo bị bung chỉ nhiều .,nhưng áo bị bung chỉ nhiều,NEG,0,2
Mỗi tội giao hàng hơi bị chậm xíu vs M42kg mặc hơi bị rộng xíu nhưng ksao vẫn cho shop 5*.,mỗi tội giao hàng hơi bị chậm xíu với m42kg mặc hơi bị rộng xíu nhưng ksao vẫn cho shop 5,POS,1,5
Mic quá nhậy bà chuẩn.,mic quá nhậy bà chuẩn,POS,1,4
"Đúng bao bì mới (trà xanh), Thời gian giao hàng rất nhanh.","đúng bao_bì mới trà xanh , thời_gian giao hàng rất nhanh",POS,1,4
Chua bao gio that vong khi mua do cua shop.,chưa bao gio that vong khi mua do cua shop,POS,1,5
Chất cũng đẹp nhưng quần hơi ngắn.,chất cũng đẹp nhưng quần hơi ngắn,NEU,2,3
"đặt 4 su đúc và 2 cotton nhưng giao hàng lại cả 6 su đúc, hơi k hài lòng.","đặt 4 su đúc và 2 cotton nhưng giao hàng lại cả 6 su đúc , hơi không hài_lòng",NEG,0,2
Thất vọng!,thất_vọng !,NEG,0,1
Hàng y hình.,hàng y hình,POS,1,4
Không như giới thiệu.,không như giới_thiệu,NEG,0,1
Rất không đáng tiền Hàng giao không như hình.,rất không xứng_đáng hàng giao không như hình,NEG,0,1
Quần hơi to.,quâ n hơi to,NEU,2,3
"Giao hàng nhanh,sản phẩm đạt chất lượng.","giao hàng nhanh , sản_phẩm đạt chất_lượng",POS,1,5
Nay có luôn.,nay có luôn,POS,1,4
Giao hàng rất nhanh và đóng gói rất cẩn thận.,giao hàng rất nhanh và đóng_gói rất cẩn_thận,POS,1,4
"Chất da dày và mềm, giá quá rẻ luôn.","chất da dày và mềm , giá quá rẻ luôn",POS,1,4
"Ships QUÁ CHẬM, làm MẤT HỨNG người mua.","ships quá chậm , làm mất hứng người mua",NEG,0,1
Chất xấu kinh khủng.,chất xấu kinh_khủng,NEG,0,1
Kẹp đuôi khỉ thì bị gãy và bàn chải thì ko xài dc pin.,kẹp đuôi khỉ thì bị gãy và bàn_chải thì không xài được pin,NEG,0,1
Hang khong dep nhu tui mua o cho Ben Thanh.,hang không dep nhu tui mua o cho ben thanh,NEG,0,2
Vải đẹp nhưng form áo dạng ôm k giống hình ng mặc.,vải đẹp nhưng form áo dạng ôm không giống hình ng mặc,NEU,2,3
"áo dày dặn nặng tay, hơi có mùi.màu đẹp, đáng tiền.","áo dày_dặn nặng_tay , hơi có mùi . màu đẹp , xứng_đáng",POS,1,4
Chỉ tiếc là cây hơi nhỏ nên sử dụng treo đồ nhẹ thôi.,chỉ tiếc là cây hơi nhỏ nên sử_dụng treo đồ nhẹ thôi,NEU,2,3
Do gói hàng túi hơn méo mất form.vân cho 5*.,do gói hàng túi hơn méo mất form . vân cho 5,POS,1,4
Quần đẹp lắm.,quần đẹp lắm,POS,1,5
Y chang hình.,y chang hình,POS,1,4
"Màu đậm hơn so vs ảnh nhưng chất vải rất mát, mềm, nhẹ Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất rất nhanh.","màu đậm hơn so với ảnh nhưng chất vải rất mát , mềm , nhẹ đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất rất nhanh",POS,1,5
Phải thêm 1 miếng nới áo mới vừa.,phải thêm 1 miếng nới áo mới vừa,NEG,0,2
"Chị chủ shop tư vấn nhiệt tình, áo đẹp và chuẩn size luôn.","chị chủ shop tư_vấn nhiệt_tình , áo đẹp và chuẩn size luôn",POS,1,5
"Hàng đẹp, chất mà mình mặc hơi rộng.","hàng đẹp , chất mà mình mặc hơi rộng",NEU,2,3
Ly gì toan bố.,ly gì toan bố,NEU,2,3
"Chất lượng sản phẩm tuyệt vời, nhân viên ship hơi lâu tí thôi (chắc do bên vận chuyển).","chất_lượng sản_phẩm tuyệt_vời , nhân_viên ship hơi lâu tí thôi chắc do bên vận_chuyển",POS,1,4
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh chưa sử dụng nên ko đánh giá chất lượng đc Hy vọng tốt như quảng cáo hihi.,đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh chưa sử_dụng nên không đánh_giá chất_lượng được hy_vọng tốt như quảng_cáo hihi,POS,1,5
"Lần đầu đặt đồ mà lại thất vọng đến vậy , dù là hàng oder .","lần đầu đặt đồ mà_lại thất_vọng đến vậy , dù là hàng oder",NEG,0,1
mới dùng chưa rõ tác dụng nhưng thấy cũng ổn.,mới dùng chưa rõ tác_dụng nhưng thấy cũng ổn,NEU,2,3
"Mình thắc mắc thì mình hỏi, bạn k trả lời cho đến khi mình huỷ thì bạn từ chối.","mình thắc_mắc thì mình hỏi , bạn không trả_lời cho đến khi mình huỷ thì bạn từ_chối",NEG,0,2
"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào.","form áo xấu lắm , mặc lên như tá điền , chỗ tà_áo bên dưới rất dài chứ không ngăn như ảnh mẫu mặc , bảo sao thấy quay clip gập đôi áo vào",NEG,0,2
Nói chung là tàm tạm.,nói_chung là tàm_tạm,NEU,2,3
chất vải ok nhưng phần thun để giữ áo ở vai có bản nhỏ quá nên áo cứ bị tuột lên trên. dù vậy làm thành áo croptop cánh tiên cũng ok.,chất vải ok nhưng phần thun để giữ áo ở vai có bản nhỏ quá nên áo cứ bị tuột lên trên . dù vậy làm thành áo croptop cánh tiên cũng ok,NEU,2,3
Ngon đấy nhẹ nhưng gói hàng chán quá.,ngon đấy nhẹ nhưng gói hàng chán quá,NEU,2,3
Còn tặng thêm quà nhỏ xinh.,còn tặng thêm quà nhỏ xinh,POS,1,4
nhỏ hơn size thực.,nhỏ hơn size thực,NEG,0,2
K thích chế độ nháy.,không thích chế_độ nháy,NEU,2,3
Mình sẽ ủng hộ dài.,mình sẽ ủng_hộ dài,POS,1,4
Hàng kém chất lượng bị vỡ ko dùng được.,hàng kém chất_lượng bị vỡ không dùng được,NEG,0,1
Jum chi mà bé 10kg bằng cái jum đùi đang có.,jum chi mà bé 10kg bằng cái jum đùi đang có,NEG,0,1
"Mình đặt 2 đôi, Đôi giầy vải thì ko sao nhưng đôi giày da lộn cứng bị gấp thành nếp luôn.","mình đặt 2 đôi , đôi giầy vải thì không sao nhưng đôi giày da lộn cứng bị gấp thành nếp luôn",NEG,0,1
Chất lượng sp phù hợp vs giá tiền.,chất_lượng sản_phẩm phù_hợp với giá tiền,NEU,2,3
Form bé chất in xấu cực kì luôn.,form bé chất in xấu cực_kì luôn,NEG,0,1
"Đẹp, bền vừa với túi tiền.","đẹp , bền vừa với túi_tiền",NEG,0,1
Gưi thiếu hàng nhưng khi hỏi thì chỉ nhắn b bấm hoàn trả đi rồi shop kiểm tra lại nhưng mãi k thấy shop kiểm tra và hoàn trả!!,gưi thiếu hàng nhưng khi hỏi thì chỉ nhắn b bấm hoàn_trả đi rồi shop kiểm_tra lại nhưng mãi không thấy shop kiểm_tra và hoàn_trả ! !,NEG,0,1
Vẫn còn chỉ thừa ở mép túi nhưng với giá như vậy thì vẫn quá ok :D.,vẫn còn chỉ thừa ở mép túi nhưng với giá_như vậy thì vẫn quá ok d,POS,1,5
Thà để tiền mua được cốc trà sữa cho bõ tức. - Đây là lời đánh giá CHÂN THÀNH và CHÍNH XÁC cho các bạn muốn mua sản phẩm này.,thà để tiền mua được cốc trà sữa cho bõ tức . đây là lời đánh_giá chân_thành và chính_xác cho các bạn muốn mua sản_phẩm này,NEG,0,1
Áo cỡ L form hơi to chắc cỡ M mới vừa.,áo cỡ l form hơi to chắc cỡ mình mới vừa,NEU,2,3
