target,count,example_text_1,example_text_2,example_text_3
quần,158,không lên gấu quần,quần đường chỉ may quá kém và xấu,"dáng quần đẹp đúng mẫu , đường may chắc_chắn"
chất liệu,135,"chất_liệu dày_dặn , cầm nặng_tay",chất_liệu đẹp váy xinh . mỗi tội mỏng quá,chất_liệu vải khá ổn
chất lượng,125,cái choice hồi trước dùng tốt bây_giờ tệ thật_sự giao_lâu hơn cả shopee shop nước_ngoài mà_còn tự_ý hủy_đơn chất_lượng chat và liên_hệ rất tệ luôn không giải_quyết được vấn_đề,"chất_lượng sản phấm tốt , giao sai màu ! !",chất_lượng vải mỏng
chất lượng sản phẩm,107,chất_lượng sản_phẩm siêu siêuu tuyệt_vời,chất_lượng sản_phẩm kém . phôm không không rộng và đẹp như trong hìn,chất_lượng sản_phẩm tuyệt vờishop còn dễ_thương tạng sin gum
linh kiện điện tử,81,"Thật sự quá thất vọng về a51. Mình khuyên mọi người k nên dùng. Mình dùng chưa đc 1 tháng mà đi bảo hành 2 lần, đổi linh_kiện_điện_tử mới thì tgdd k cho đổi dù là 1 đổi 1 trong vòng 1 tháng. Chắc giờ về sau mình k dùng hàng của sam sung với mua đồ trên tgdd nữa , quá thất vọng.",sao lại không lướt được màn_hình trong app vậy các app mua linh_kiện_điện_tử khác đều sử_dụng được lúc đầu dùng app để xem có j mua không mà không lướt được tưởng máy bị hư ai dè_app bị lỗi làm_ăn j lạ vậy,linh_kiện_điện_tử gì mà 1 trời 1 nẻo !
ổ cứng,77,"Vì công việc nên mới xài vị trí... đến lúc xài mất cả 1thoi giận mới lên được cái vì trí, rất là tức,, k nhại bén bằng ios, ứng dụng tải về thì ít, nhưng ứng dụng trên ổ_cứng thì qúa nhiều thật vọng",ổ_cứng y hình luôn,không hài_lòng về ổ_cứng
đóng gói,75,tính đổi sản phầm khác nhưng mắc công đóng_gói lại,"shop đóng_gói chắc_chắn , kèm cả hoá_đơn đỏ , biết thế bảo shop xuất về cty",đóng_gói đẹp giao nhanh nhưng túi mỏng quá shop bán theo kg nên lấy loại dày hơn
hình,74,"đang tính bỏ truyền_hình cap , chỉ dùng cái này","tạm được , không đẹp như hình , chất vải bình_thường vải lưới",cổ và tay nhỏ hơn hình_mẫu
form,71,form rất to lùng_bùng như trùm cái mền,hơi rộng có form thì tốt,không ung y lam form mac qua rộng
camera,63,"Thừa tiền cũng không mua samsung tầm trung. Dùng thời gian là giật lag, camera thì quá tệ màu sắc thì ảo tùng chảo. Tầm trên dưới 10 triệu thì nên bỏ thêm tiền mà mua dòng cao cấp dùng thích hơn nhiều.","Các ae chê nhiều thế nhỉ,mình dùng thấy ổn mà,sau mấy bản cập nhật vân tay cũng ổn hơn,mở khuôn mặt lúc nhanh,lúc chậm nhưng cũng 0 đến nỗi nào,hiệu năng chơi đồ hoạ trung bình cũng ổn,camera chụp tối với mình quá tuyệt luôn","Cũng ok về mọi thứ, đặc biệt là nhân viên của TGDD (mình thích vào TGDD đóng tiền trả góp), trừ camera ko được như quãng cáo. Cảm biến vân tay đã thử thấy cũng ổn, không như 1 số người chê (chắc do hên xui) nhưng mình ko dùng, đặc biệt sau khi đọc mấy khuyến cáo của 1 số ngân hàng, chờ khắc phục lỗ hổng. Chỉ thắc mắc là giá cả tụt nhanh quá. Mua được 1 tháng giá đã giảm hơn 1 triệu. Do chất lượng sản phẩm nói chung hay do bị đội giá lúc mới ra?"
giày,62,"mui giày có vẻ không đẹp , so với giá thì hơi chênh nhao xíuu",mình cứ nghĩ giày thấp ai_ngờ độn cao vch,nhưng nhìn giày hơi cũ
váy,61,chân váy bị lỗi,váy đẹp cả chất và lượng,cái váy vải không đẹp lắm
điện thoại,57,Mình mới mua 2 ngày.hình ảnh và video trên fb xem rất nhòe và mờ.pin cũng không trâu lắm.có đêm ra TGDD hỏi.nhân viên nói là do mạng mình.chứ lên wifi cũng vậy.trong khi mạng 4g mình xài điện thoại cũ vẫn bình thường,Nói chung là tầm giá ok nhân viên thì tốt cảm ơn nhiều các anh chị nhân viên điện thoại thì có ưu điểm và nhược điểm rồi với cái giá này là ok rồi ko có gì chê nữa,"VSMART ACTIVE 3 dùng rất ok chơi game mượt , chụp hình tốt trong tầm giá.  . chỉ còn thiếu 1 phần mềm quản lí điện thoại như hãng Asus thì điện thoại sẽ được đồng bộ trơn tru hơn."
củ sạc,55,nhận củ_sạc mình không thấy tem mác đâu hết,Mình mua chính hãng tại thế giới di động đã cập nhật MIUI 11. Khắc phục tốt camera trước khi gọi video massage và zalo. Chỉ có củ_sạc vẫn còn tuột nhanh...khi lên MIUI 11 mọi thứ rất vượt mà,củ_sạc tuyệt_vời ông mặt_trời ! !
chuột,54,"giao sai , không chịu kiểm chuột trước khi gửi , quần_bó",chuột mỏng quá,"Máy sử dụng rất tốt. Với giá tiền này là quá ok.Máy chạy cực mượt với các ứng dụng Google Go, Zalo, Facebook, Web thoải máy. Phù hợp với nhu cầu cơ bản. Chỉ có chuột máy với độ phân giải chưa cao thôi, nhưng với mức giá tiền này thì tốt rồi."
túi,54,hợp túi_tiền,"túi đẹp , chưa dùng nên không biết giữ nhiệt như_thế_nào",túi nhỏ hơn so với trên hình chất_lượng sản_phẩm tạm được
mẫu,53,"mẫu giống hinh , chất_lượng không giống hinh , mà tiền nào của đó tạm chấp_nhận được",hai mẫu áo 2 chất khác nhau,tôi thấy rộng hơn cả mẫu mặc_ý
cáp sạc,52,cáp_sạc không giống giới_thiệu đâu,Vừa mua hôm qua ở tgdd. Nhân viên rất nhiệt tình. Chơi game khá tốt nhưng có đều cáp_sạc tuột hơi nhanh,cáp_sạc ổn
bàn phím,52,ứng_dụng mua bàn_phím tiện_lợi rất nhiều voucher giảm_giá xâu,Vừa mua xong .khá hài lòng .tuy đã làm hồ sơ online và tới cửa hàng nhận bàn_phím.nhưg chờ khá lâu.nhưng k sao.thấy các chị làm việc liên tục .khá bận.nên cũng thông cảm được,bàn_phím y mẫu . s tư_vấn nhiệt_tình . ok
máy hút bụi,50,Chụp hình ban đêm ok.góc rộng.chuẩn.phục vụ ok 👍👍.máy_hút_bụi quá đẹp(riêng ý kiến tôi).sạc cũng nhanh.👍📱,app bán cho bọn tây hay j mà chọn tiếng việt r cũng tiếng anh máy_hút_bụi thì toàn ở đâu_đâu quá tệ,Thế giới di động bán toàn máy_hút_bụi lỗi đổi trả lại rất khó khăn. Mua cái redmi 8 lỗi tùm lum đổi ko cho đổi
kiểu,49,"đặt kiểu số 3 , khi giao bên ngoài túi tiki ghi tay rõ có màu đen , nhưng mở ra lại là màu cam",kiểu thả viên vào bình chứa nó cứ ra hết dịch màu xanh,giao lộn kiểu
đóng gói sản phẩm,47,"đóng_gói sản_phẩm rất kém , hộp rách_nát","đóng_gói sản_phẩm chắc_chắn tuy_nhiên vải xấu và may ẩu , tiki tư_vấn nhiệt_tình nên để 4","shopee tư_vấn nhiệt_tình , dễ_thương , đóng_gói sản_phẩm đẹp"
hộp,45,hộp hơi trầy nhưng hàng đóng_gói kĩ,"mua 2 hộp phấn mắt , hộp 07 kiss mặt phấn mới , hộp 05 joy jam mặt phấn như đã qua sử_dụng",đóng nguyên hộp như vậy nhiều khi giao hàng sẽ không nguyên_vẹn được hộp
loa,35,"Ngon lành, mượt.
Màn 120hz, Hệ điều hành của oneplus thì khỏi bàn rồi, cam con này được cải thiện hơn các thế hệ trước đó chụp đẹp, loa to nghe phê nha. 
Quà tặng kèm chất lượng.","quá tuyệt vời so với tầm giá, loa to thiệt sự. không gg cũng không vấn đề gì vì có cửa hàng app của hw. và vẫn lên gg bằng nền tảng web. 👍👍",Sản phẩm không thể chê ở điểm nào trong tầm giá này. Nhưng ngoại trừ 1 điểm là loa thua cả cái trắng đen. Mở nhạc hay youtube rè k chịu được. Mong samsung có thể sửa chữa lại để chúng tôi gửi bảo hành. Mình mua máy này làm máy phụ nên cần thiết hiệu năng mạnh.Chỉ đánh giá nhiêu đó thôi vì mới dùng 1 ngày. Mong NXS chỉnh sửa đc Loa để tôi có thể gửi đi làm lại cái loa. Thật sự cái loa thua trắng đen ý.
bề mặt,29,bề_mặt vải mát,bề_mặt vải không được đẹp lắm,"bề_mặt áo khá mỏng , dễ rách phần tay_áo"
kích cỡ,29,tuy gửi nhầm kích_cỡ mình hơi rộng nhưng tự bóp cũng vẫn được khỏi mất_công đổi lại,cùng kích_cỡ n mà vòng bụng hơn nhau cả ngang tay,kích_cỡ s ma_phai 50kg mang moi vừa
vải vóc,29,vải_vóc thô quá,vải_vóc dày . from đẹp,vải_vóc hơi bóng
độ bền,27,độ_bền cx tạm ổn,độ_bền dịch_vụ bán hàng tôt,"set này cũng bth , độ_bền phù_hợp giá tiền thôi"
cây chổi,27,cây_chổi ok đẹp bó sát thoải_mái,"cây_chổi hơi to và nặng , mới xài thử vài ngày thấy ok , sạc vào pin lẫn vào máy đều khá nhanh",cây_chổi y hình
đường may,26,có mỗi đường vắt_sổ . phải đi trần lại đường may nữa,"tuy bị sứt chỉ , đường may nép gấp không đều nhưng giá_như thế hợp_lý rồi",đường may ẩu ạ
wifi,22,"Mua cho em nhỏ, người lớn rất hợp lý, vừa túi tiền nữa, cấu hình vầy là quá ổn rồi, đừng đòi hỏi nhiều với cái giá đã bỏ ra, muốn chơi game, nhiều ứng dụng thì xìa ra thêm nha ^^. Ở xa nhà nhưng chỉ cần order online là được phục vụ nhanh chóng, tận tình tại gia, luôn thích dịch vụ của tgdd, dmx. Trong nhà toàn dùng hàng từ đây. Sự lựa chọn tin cậy. Về Nokia C2 chất lượng hình ảnh gọi video được ""cà"" đẹp lung linh nha, bắt wifi khá tốt( vì dùng ké từ nhà kế mà vẫn ổn hihi), mua tặng cậu em nhỏ nên không được trải nghiệm nhiều :v","Tính ra thì quá tệ so với tầm giá 😃
Độ mượt kém
Bắt wifi siêu kém
Cảm ứng không nhạy
Cảm biến vân tay + khuôn mặt quá chán
Mới mua đt chưa đc 1 tuần mà muốn đổi đt khác r
Dù s vớt lại dc cái tgdd dịch vụ lúc nào cũng good 😃",Vsmart joy 3 nhà sản xuất đã gửi bản cập nhật sửa chữa các tính năng r nha các bạn bắt wifi bao mạnh
hài lòng,22,nói_chung hài_lòng,"tôi không hài_lòng chút nào , quá thất_vọng",mình không hài_lòng
gói hàng,22,shopee gói hàng rất cẩn_thận,gói hàng kĩ,gói hàng còn bị dơ và móp méo
dài,18,dây hơi dài,tay_áo quá dài,nên mặc chỉ được 1 time chứ dài lâu hơi khó
rách,18,có bị lỗi và rách 1 chút ở hai bên nách,mua 3 cái nhưng bị lổi 1 cái bị rách . bên ngoài là made thái bên trong thì china,nhưng phần ren tay của mình bị rách
son,17,lại còn được chị chủ shop tặng kèm son mini handmade,thỏi son nhỏ,son có màu hồng cánh_sen hơn là đỏ
mùi,16,mùi thơm mình có nhìu chai không có tinh_dầu no no,mùi hơi kinh,mùi không thơm lắm như lúc trước mình mua
ảnh mẫu,15,ảnh_mẫu sao hàng_vậy,"không giống như ảnh_mẫu chất vải hoàn_toàn khác , thất_vọng quá",ảnh_mẫu in không giống ảnh cho lắm
form áo,15,mỗi tội form áo hơi dài với rộng so với mình,"form áo xấu lắm , mặc lên như tá điền , chỗ tà_áo bên dưới rất dài chứ không ngăn như ảnh mẫu mặc , bảo sao thấy quay clip gập đôi áo vào",form áo nhỏ chứ không phải áo dáng rộng
ngắn,14,"sao găng_tay thực_phẩm cổ_tay ngắn thế , chỉ đeo đủ bàn_tay",hơi ngắn tí,yếm đen hơi ngắn
sóng,14,"Dùng được 5 tháng r.
Càng cập nhật máy càng thấy lag, đang gõ tìm kiếm cứ bị out. Gõ 3 4 chữ mà mới xuất hiện 1 chữ.
Sóng đt thì 2 vạch.
Wf bắt cũng kém.","E mới mua sài tốt... Nhân viên tư vân nhiệt tình.
Bắt sóng 4g mạnh... wifi ổn...",quá tệ máy ko tải dc ứng dụng mà mới mua chưa dc 1 tháng đề nghị xem lại. mạng thì lâu lâu thì mất sóng .còn lại cx ok nhưng cần khắc phục lỗi mạng và ch play nhân viên phục dụ cũng nhiêt tình
lần,13,lần đầu_tiên mua shoppe mà bị lừa như_vậy,lần đầu mua hàg ưng lắm ạ,lần đầu xài nên không bik so_sánh với loại mua trong siêu_thị
khóa,13,đề_nghị ban quản_trị hệ_thống rà_soát lại lỗi hệ_thống hay gì đó đi voucher miễn_phí vận_chuyển shoppe phát cho người không_thể sử_dụng áp_mã vào là bị lỗi f02 khóa tài_khoản người dùng luôn tôi rất thất_vọng về phần_mềm của nhà phát_hành,ứng_dụng quá tệ đăng_nhập tk toàn bị khóa ul00 là lỗi mẹ j gửi đến phản_hồi thì chả thấy mẹ j,nhưng ngăn_kéo khóa ít
vân tay,12,"Loadd   ứng dụng thì mất tầm 10  S
 Cứ  đơ  đơ  làm sao  á       k thoát ứng dụng  vào lại  lại loadd  từ  đầu    chưa nói đến chơi game
 K có vân tay   
 5.000  k có  sạc nhanh   6  tiếng 99%    nóng quá chơi  game  nặng
   2  gb  gì  load  ứng dụng 13  mb      15  S   chậm  quá mức",Sau cập nhật ngày 25/10 vân tay nhận diện khá là ok nhưng chơi game lag qua đặc biệt là game pubg,"mới mua được 9-10 ngày rồi, mới đầu thấy hơi giật giật, nhưng cập nhật mấy hôm nay xongl à ngon lành, cảm ứng mượt mà, vân tay cũng nhạy, quá ngon luôn"
xinh,12,còn tặng thêm quà nhỏ xinh,xinh lắm ạ,100 mấy th nhưng chuẩn ullzang và xinh lắm iu iu
chip,12,"Tuyệt,rất kết con này,vừa túi tiền. Thích con này do chip Snapdragon 730,xử lý tốt mọi ứng dụng. Chụp hình cận cảnh,điều mình cần có.",Đến bây giờ vẫn còn mức giá 15 triệu. Chắc muốn giữ tồn kho làm đồ cổ rồi hả tgdd. Với con chip tầm trung tầm này còn giá đó thì đến thua blackberry rồi,"giá quá chát màn thì hd+ , chip thì cũng phải snapdragon 675 hoặc snapdragon 710"
chat,12,chat luog không tot nk,chat luing bt,chat luong binh thuong
chật,12,hơi chật,nhưng mình mặc hơi chật ở bụng,chật ở cánh_tay
giấy,11,giấy dày,giấy quá xấu,ban_đầu mình còn tưởng rửa tay xong nó còn mảnh giấy nhưng mà nó rã luôn
đầm,11,"đầm rất đẹp , form đẹp , vải cũng đẹp","đầm đẹp , chất vải ok","đầm đẹp lắm nha , y hình luôn"
chưa,11,chưa gửi cho mình cái này,chưa nhan được hang,chưa biê tôi châ tôi lươ ng thê na o
nói chung,10,nói_chung là tuyệt_vời,nói_chung là tốt,nói_chung tạm được
minh,8,minh phin rui ma_sao roi van nhiều,minh không thay km quan,minh mua giùm bạn mình gần 20 cái rồi
dùng,8,dùng hiện_tại thấy oke,dùng được,"dùng thử combo giảm_giá thì thấy vậy thôi , chứ thường thì ăn rất oke nhak"
san,8,san pham chưa dung nen chưa danh_gia,san pham 0 giống hang da dat_vi the so mua do tren mang luon,san pham cung được nhung ma_bi do
lon,8,có cái dây trong để trong bao nylon nhỏ hơi bị nhàu nhưng mình ít dùng dây trong nên cũng chấp_nhận được,nhu lon dung may ngay la hong,nhiều nilon
hang,8,hang thai lan sản_xuất tại trung_quốc,hang nhan nheo không doi hang cho khach . hang_ko co tem,hang qua dêu không giống nhu hi nh đặt
cây,7,chỉ tiếc là cây hơi nhỏ nên sử_dụng treo đồ nhẹ thôi,nếu shopee cho thêm cây kim chọt để lấy thẻ_nhớ hay sim thì oke,không giống như như cây mình mua ở ngoài
đàn,7,đàn xinh lắm,nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ,"đàn đẹp tuy có lỗi nhỏ nhưng không đáng_kể , đàn âm tốt"
sạc,7,"Sản phẩm ở mức tiền như vậy là dùng đc
Giá như có sạc nhanh thì tốt hơn
Mơi đúng thì thấy bin ổn","sản phẩm bảo hành quá tệ. Mới mua được 2 tuần thì không tắt được nguồn. Đem đi bảo hành thì báo hư chân sạc, phải nộp 500K mới sửa chữa. nản===>>> Đang trong thời gian trả góp. Lừa đảo",sạc kém
kiểu dáng,7,"sáp khử mùi thì dán nhãn hời_hợt , kiểu_dáng cho có , nhìn cứ như hàng fake ấy","kiểu_dáng váy thì đẹp , nhưng mặc mùa hè thì nóng , không thấm mồ_hôi","kiểu_dáng đúng mô_tả , tuy_nhiên quá mềm , không có độ cứng của khung túi , nên kém sang"
dép,6,chuột chạy mất dép haha,shop giao nhầm dép,"dép đẹp , chất_liệu tốt , đáng đồng_tiền"
dep,6,dep lam nha_ban,dep nhung chat dui qa,dep nhu hinh
nóng,6,khoảng 10 phút thì cục chuyển_đổi hơi nóng,độ nóng rất kém uốn mãi chẳng cong,nóng nhanh
ưng ý,6,nói_chung là quá ưng_ý,cực_kì ưng_ý,rất ưng_ý ! !
màu sắc,6,màu_sắc đúng như hình,nhưng màu_sắc thực_tế không giống với màu trên ảnh,màu_sắc hơi đậm hơn trong hình một_tí nhưng ổn
châ,5,châ tôi lươ ng vư a vơ i gia tiê n,"châ tôi va i mê mình ma_i , mă c thoa i ma i nhưng chi sơ sau bi xu va i thôi",châ tôi va i đe_p
chữ,5,chữ in dễ tróc ra,chữ in mờ khó đọc được . ! !,chữ in nhỏ
nhìn,5,nhìn lại thì đường chỉ may chỉ có đường vắt_sổ,nhìn mong_manh quá,nhìn như mấy cô y_tá
phom,5,phom hơi rộng,cứ nghĩ mình là vừa mà phom nhỏ quá lại không ních được,phom xấu
size áo,5,size áo quá nhỏ,"chủ shop nhiệt_tình , còn đổi lại size áo cho mình",không đúng với size áo thông_thường đâu
mẫu mã,5,"sẽ tiếp_tục ủng_hộ , mong shopee cập_nhật nhiều mẫu_mã hơn nữa hihi",mẫu_mã để thi đẹp khi giao hàng còn thua cái ao chó của tui nữa,giao hàng chậm vl không đa_dạng mẫu_mã như shoppe không giao hàng mà cũng không cho hủy hàng
mềm,5,"mềm mịn co_giãn tốt , mặc thích thật_sự ! !",không mềm lắm,"khăn mềm , thấm hút tốt"
ram,5,Giá quá mắc . Con này nên bán giá tầm 3.2 triệu là vừa còn bản 3G ram thì dưới 3 triệu mới hợp lý giá .chứ sao mà lại anh vsmart,Ứng dụng hằng ngày chưa ổn định ram 8 nhưng đa nhiệm kiếm vào ứng dụng chậm chíp 665 vs giá gần 7 tr là wa yếu chỉ chơi game ở mức bình thường nếu quay lại tui sẽ mua redmi note8pro đến h vẫn chưa lên đc android 10,Tốt... Xứng với tầm giá... Có điều tương tác không được nhanh với cấu hình ram 6G
bao bì,5,bao_bì móp méo . lưu_ý thêm nhé,bao_bì mời rất ok,bao_bì qua_loa không có_hạn sử_dụng
dây đeo,5,"tuy_nhiên khoá móc bị mất 1 cái , các dây đeo đều lỏng giặt là tuột ra khỏi áo , nên khắc_phục",mới lấy mà dây đeo đã đứt,dây đeo không điều_chỉnh được độ dài
mong,5,mong ad điều_chỉnh lại,mong sẽ hết liệu_trình sẽ giảm được về số cân mong_muốn hihi,mong là giảm kg nhiều nhiều chút nữa
nhiều,5,nhiều chỉ thừa và lệch,còn nhiều keo và đường viết bạc,"nhiều nạc , với giá_cả nv thì chấp nhânn được"
sao,5,sao giống 100 được,sao mih mua nua không được vậy b,sao nay dam nay co 85 ngàn vay ban
dây,5,"dây mê mình đe_p , đeo ôm tay",nhưng dây kéo hơi bị rít khó kéo,dây dai hơi nhỏ
màn,4,"Tậm giá này mà vẫn HD+ trong khi màn 6,5in
Xem nhận xét toàn nv phán haha cười thiệt","Hôm nay vừ làm 2 em xong nhé,về cập nhật xong dùng mượt miễn chê,màn HD to xem phim cũng nét nữa.",Cũng tạm thôi mọi người ạ cấu hình ko mạnh so với tầm giá màn chỉ hd chụp ảnh bình thường nên chỉ cho 4 sao
chắc,4,chắc phải đem sửa,chắc phải 2xl mới thoải nái,chắc đl người mặc thôi nên mình sửa lại cao lên xí
hôi,4,hôi kinh_khủng,tuy_nhiên mùi còn hôi,nhựa bình sữa rất hôi
giờ,4,giờ để không cho con mèo lên lắc,giờ đổi tới l rồi thì hết cách luôn,giờ về không có phần đề nới ra
đường,4,đường chỉ lộ rõ ra ngoài,đường chỉ may không tốt,"đường lai ao xâu wa , mac hoi chat"
ly,4,shop lại giao lyly,ly gì toan bố,"xé 2 bên thùng sữa ra , để ly vào trong , để sữa ra hai bên thùng sữa đã mở"
dày dặn,4,len mịn và dày_dặn,"dày_dặn , co_giản tốt",dày_dặn nhưng giặt bị phai nha
sách,4,sách ok lắm ạ . in rất rõ net,sách hoi bi cong gáy mot chu_t,đặt_hàng và thanh_toán từ 1 10 đến nay 14 10 vẫn chưa giao trong khi hẹn 9 10 là giao nếu không vì mua sách thì còn lâu mới mua tiki lần đầu cũng như lần cuối
chán,4,chán quá !,chán,chán thất_vọng
lấy,4,"lấy đại khỏi mất_công đổi , nhưng không vui",lấy e thêm cái,lấy 10 chiếc mà 3 cái không phải len tăm
vai,3,vai tho cai trang mac vua cai den nho xju mau trang nhjh do,vai nong . không dep,vai cứng mac không eo
mọi,3,mọi người yên_tâm order !,mọi người hãy cân_nhắc kỹ trước khi mua,mọi người hãy tin_tưởng và mua dùng
đặt,3,đặt 3 cái,đặt hnay ngày_mai có ngay luôn,đặt mua 4 lót gót để dán chống rộp gót cổ_chân thì gửi 4 lót đế bàn_chân
mic,3,"Mua cho cha dùng nên cũng chưa dùng nhiều,hủ yếu nghe gọi. Chỉ có điều thế giới di động tính tiền gian gian thế nào ấy. Mua vsmart yoy3 2tr690 lỗi về mic,nhân viên ko chịu đổi,mình phải đổi con này 2tr690 bù tiền 20% là 540k.nhưng nó ko tính vậy,nó bảo con trc 2tr690 trừ 285k tích lũy còn 2tr405.bây giờ lấy 2tr690-(2tr405-20%.2tr405)=766k.là phải bù 766k.mất hết thiện cảm mua hàng nơi đây",sạc thì chân micro ngắn dễ bị tuột ra khỏi máy nếu vừa sạc vừa dùng,mic quá nhậy bà chuẩn
bình,3,bình có chữ pc làm bằng nhựa này không an_toàn,bình đựng lục_lạc méo_mó,bình thươ ng
nghe,3,nghe mọi số bạn review nói là khô môi,nghe review miêu_tả ghê_gớm lắm mà,nghe được 1 ngày sau thì 1 bên to 1 bên nhỏ
ưng,3,ưng ơi là ưng,ưng dể sợ à,ưng lắm ạ
thơm,3,thơm ngon,thơm lắm,thơm mùi cafe sữa lắm
đổi,3,đổi sang rêu,đổi qa cục này qá êm,đổi hơn 1 tuần rồi mà vẫn chưa có
sử dụng,3,sử_dụng không khác gì vè mua tại_chỗ,sử_dụng tiện_lợi,sử_dụng được mấy hôm tượt nhẹ từ trên ghế 5cm xuống nền nhà nứt cường_lực
giặt,3,giặt xong nhăn quá,giặt xong là 2 bàn_tay cũng đen theo luôn,giặt 1 lần mà xù hết lên
quan,3,quan gen ma to qua chang gen bung được,quan tem mac tq nhung ảnh va tieu đề ghi quan xuat khau,quan không co tui truoc
