đặc_biệt , shipper ghn nhiệt_tình , cutee	1	1	0	0
chất thì được như có một cái bị rách	0	0	1	1
rõ_ràng ghi là chất_liệu kaki nhưng hàng lại là chất vải mềm	0	0	1	1
hàng y hình , mỗi tội cái mùi túi rất khó_chịu	1	0	0	0
nhưng phần váy đen phai dã_man quá phai hết cả ra phần cổ trắng	0	0	1	1
shop bán hàng có tâm ! !	1	1	0	0,0
tốt nhưng tôi sẵn hơi ít_mã dảm giá	1	1	0	0
bề ngang áo chật	0	0	1	1
chất giày thì đk nhưng mà lỗi như thế_thì không đk	0	0	1	1
Lỗi 1 xim ko nhận chua dùng dc 1 tháng.mua máy mới nhung ko dc bóc  hộp. Nhân viên lây cho 1 cái hộp  mở sẵn.máy cung dc dán decan đẹp.chac hang đổi trả  rep mới  lại bán	0	0	1	1,1
nhưng mỗi tội lạc đơn hàng phải đặt lần 2 bù lazada nhiệt_tình nên xí_xóa	1	1	0	0
kích_cỡ mình nhưng bị chật eo	0	0	1	1
ứng_dụng mua_sắm như cc	0	0	1	1
tài_khoản mới sdt mới báo hoạt_động bất_thường không cho mua mẹ tụi mày dẹp app đi	0	0	1	1
ứng_dụng cứ hiện lên màn_hình bắt vào thoát ra 1 lúc sau lại tiếp_tục	0	0	1	1
phần_mềm rất tiện_lợi	1	1	0	0
giá siêu siêu_hời nên tải app_nha mn	1	1	0	0
áo đen vải rất cứng và đơ không mặt được	0	0	1	1
2 áo sơ_mi cùng loại khác màu nhưng chất_lượng khác xa nhau	0	0	1	1
Dùng 3 tháng nhưng bảo hành đến 3 lần liên tục vì lỗi sạc không vào. Dù là fan của samsung nhưng lần này là bảo hành không được nữa là cách luôn. Quá tam ba bận	0	0	1	1
phải tăng lên tận 2 size mới đúng	0	0	1	1
cái váy khá chật	0	0	1	1
ứng_dụng cực_kì lag	0	0	1	1
chất vải mặc vào khá ngứa	0	0	1	1
ứng_dụng éo gì lag vl	0	0	1	1
hàng nâu cam nhưng hình_ảnh quảng_cáo là xám cam	0	0	1	1
chất_liệu a o len ke mình , len thô , sơ i len thư a nhiê u	0	0	1	1
Cho mình hỏi cửa hàng có hỗ trợ dán viền chống trầy ko vậy tại mình ko thích dùng ốp lưng	1	2	0	0
Mình mới mua hôm 15/10 Về dùng nói chung màn hình ko nét camara 48 sao chụp chỉ bằng 12 thôi rất thất vọng không bằng Realme 5pro giá rẻ hơn	0	0	1	1,1
áo form nhỏ , cứng , không êm	0	0	1	1
chỉ có điều khâu đặt_hàng làm trải nghiệm của mình không vui lắm dù mình hiểu là shop cũng đã cố_gắng rồi	0	0	1	1
cho voucher mà sử_dụng toàn bị hủy	0	0	1	1
app ky_bo nhất từng thấy	0	0	1	1
quảng_cáo quá nhiều không bấm nhưng lúc_nào cũng hiện vào ứng_dụng	0	0	1	1
ứng_dụng quá lag vào là bị văng ra không_thể sử_sụng được	0	0	1	1
bấm phần_mềm nào cũng hiện link ht	0	0	1	1
ra màu kinh_khủng	0	0	1	1
quảng_cáo khắp mọi nơi từ youtube tới tiktok tới chơi game cũng thấy ghét xóa app	0	0	1	1
bắt đăng_nhập lằng nhà lằng_nhằng nói_chung app như khấc	0	0	1	1
phan_thị_tươi hỏi giá bộ_đồ màu trắng đen bao_nhiêu vậy cửa_hàng	1	1	0	0,0
size l vừa người nhưng dài quá	0	0	1	1
chưa sài phần_mềm này bao h	1	1	0	0
shop giải_thích tại hàng là hàng trưng_bày	0	0	1	1,1
tiền nào của ấy . chất vải giặt 2 nước là xù	0	0	1	1,1
bảo mỗi cái 1 màu lại gủi 2 cái cùng màu	0	0	1	1
chất rất chán	0	0	1	1
cứ bắt_cập_nhật ứng_dụng liên_tục cứ mở lên là có trong khi tôi đã cập_nhật rồi	0	0	1	1
Sản phẩm quá tệ. Tệ hơn mình tượng. Đang yên đang lành khi không k gỡ đầu được luôn. Vào cái đặt lãi mẹo được. Đang lượt web thì biếu truy cấp ứng dụng cập nhật ứng dụng.... Nói chung là nhiều thư rát rạt tệ.	0	0	1	1
vải như cái vải mùng lun	0	0	1	1
Linh_kiện_điện_tử đúng hàng mã,khó dùng,vất vả cho anh giao hàng rồi.
May nó nhận sim thôi tạm vậy 😆😄😅😎.có 190k không đòi hỏi nhiều.	0	0	1	1,1
mọi người đừng ai mua của shop này kẻo bị mắc_lừa như tôi	0	0	1	1
nguyên một ổ lừa_đảo mn đừng dùng app này	0	0	1	1
ứng_dụng như quần_què họ	0	0	1	1
size 34 mà khung ngực nhỏ quá	0	0	1	1
cứ gặp cái quảng_cáo nào về nó là lại bị thoát ra rồi vào ứng_dụng	0	0	1	1
chất vải chán	0	0	1	1
mở ứng_dụng khác cứ hiện lên rất nhiều lần	0	0	1	1
cáp_sạc dùng rồi chán quá	0	0	1	1
đa cha y_đươ c trên điê n thoa i android 6 tuy_nhiên app hơi nă ng load hơi châ m	1	1	0	0
mình ở đn 12h trưa hôm trc đặt_hàng , 3h chiều_hôm sau tới tay luôn	1	1	0	0
dạo này tải lại thấy mấy mac khuyến_mãi hay freeship gì chán thật_sự	0	0	1	1,1
bấm ứng_dụng nào cũng hiện link ht	0	0	1	1
đúng màu đúng kiểu nhưng chỉ có em bé mặc vừa . !	0	0	1	1
app khó dùng phiền_phức	0	0	1	1
Hơi tiếc nhân viên tư vấn bảo có dán sẵ miếng dán mà k để ý về nhà dùng mới xem kĩ. Chả có gì ngoài kính	1	1	0	0
nhưng áo vừa mặc thử đã bật cúc	0	0	1	1
t bị vô ứng_dụng hoài_phiền chết	0	0	1	1
Mua ở TGDD thì khỏi lo về chính sách bảo hành nha mn.
Hầu như tất cả các đồ điện tử trong nhà mình đều mua ở TGDD_ DMX	1	1	0	0
Loadd   ứng dụng thì mất tầm 10  S
 Cứ  đơ  đơ  làm sao  á       k thoát ứng dụng  vào lại  lại loadd  từ  đầu    chưa nói đến chơi game
 K có vân tay   
 5.000  k có  sạc nhanh   6  tiếng 99%    nóng quá chơi  game  nặng
   2  gb  gì  load  ứng dụng 13  mb      15  S   chậm  quá mức	0	0	1	1
2 lần đặt áo và cả 2 lần đều ưng_ý	1	1	0	0
chú_ý đến khách_hàng voucher nhiều tiện_lợi good	1	1	0	0,0
chất vải khác với ảnh	0	0	1	1
5* cho nhân viên TGDD 
Máy mình bị lổi có viền sáng quanh màn hình
Mới được đổi hôm qua
Rất ưng ý....những sau 1 ngày sử dụng giờ nó lại phát sinh lổi củ như máy trước nhưng có vẻ nặng hơn cái trước(ánh sáng quanh viền sáng hơn và rộng hơn) giờ có cách gì giải quyết được vấn đề này hả các bạn bên TGDD chứ như ri mất thời gian quá	1	1	0	0,0
đúng là tiền nào của ấy , mở ra đã thấy rách rồi	0	0	1	1
Mới mua em nó về để dùng nghe gọi, zalo fb, zing chạy cũng ổn. Còn bền k phải qua thời gian mới biết. 5sao vì các bạn nhân viên đmx rất nhiệt tình, mua bàn_phím 590k các bạn tư vấn dặn dò chu đáo. Mình mua ở đmx bùng binh mũ Tp bến tre, bạn Bình kỹ thuật và bạn Mi quản lý rất dễ thương nhiệt tình	1	1	0	0,0
bị khóa tài_khoản lần đầu dùng app	0	0	1	1
nhưng quần chật quá	0	0	1	1
