Dòng số	Text	Lỗi phát hiện
587	ko hàng ổn nhưng app không quá tốt...	Target 'giao hàng' không tìm thấy trong text | Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
593	phần_mềm này rất ưng_ý toàn có hàng săn_seo nữa mà ngon...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
595	Mới trải nghiệm 1 ngày mà chán quá chơi game song thoát ra h...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
597	áo bị tuột len v mà cx giao . sản_phẩm rất tệ . tốn tiền đi ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
598	khách_hàng vô_cùng quen_thuộc của shopee nhưng có điểm rất k...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
603	mình mua sản phầm này và các sản_phẩm khác tổng_số_lượng là ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
608	giao thiếu hàng , rõ_ràng bộ sản_phẩm nhưng chỉ giao mỗi xịt...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
619	tôi hiểu cảm_giác chờ_đợi của các bạn là rất khó_chịu hụt_hẫ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
633	Mình mua chính hãng tại thế giới di động đã cập nhật MIUI 11...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
640	shop đã giao sai hàng cho khách , hứa_hẹn đổi trả nhưng chẳn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
653	rất tốt v19 xài rất mượt rất ok, giá tốt trong phân khúc. ca...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
657	Hôm lấy bàn_phím mình thì vội công việc . Nhưng nhân viên cũ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
658	so với giá đó thì chất_lượng sản_phẩm đã quá ok , ngoài sự m...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
659	mình rất thích shopee thế nhưng_mà do shipper nên là mình kh...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
663	trung_bình ổn áp phết...	Target 'giá' không tìm thấy trong text
676	không_hài_lòng tệ hoài ghét...	Target 'ứng_dụng' không tìm thấy trong text
690	giá rẻ nhưng chất_lượng sản_phẩm tốt , chuẩn nhật...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
708	buồn là shop giao nhầm màu áo nỉ bông cho mình rồi mình báo ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
717	Sài được 1tuan minh có nhận xét , liên quân bật cấu hình k d...	Target 'màn hình' không tìm thấy trong text
726	ứng_dụng xài khá tốt nhưng có vày món chuột sao kiếm hoài kh...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
732	giao sai sản_phẩm nhưng lại từ_chối khi khách trả hàng quy_t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
736	đặt màu cam shop giao màu vàng...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
738	Điện thoại này rất tệ... đã vậy còn gian lận ROM 32gb mà chi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
742	tệ cần hỗ_trợ thực_tế nhưng toàn_robot trả_lời quản_lý nhà b...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
745	Mua máy này về chủ yếu Sài zalo với fb thôi. Mà mạng Wifi 24...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
747	tôi đặt_hàng từ 29 10 2018 đến nay 05 11 chưa nhận được hàng...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
748	Mình mới mua hôm 4/5, nói chung máy trong tầm giá là quá ok,...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
762	máy chơi ok lám shop có điều màn_hình hơi bẩn 1 mình phải lă...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
765	Sóng sánh kém lắm,giữa đất thị trấn mà chỉ đc 2-3 vạch. Wifi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
769	phan_thị_tươi hỏi giá bộ_đồ màu trắng đen bao_nhiêu vậy cửa_...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
779	giao hành nhanh sản_phẩm tốt đúng màu...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
782	giao sai màu áo...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
787	Sản phẩm phải nói là vô đối trong tầm giá  và cực phù hợp ch...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
824	Quá  tệ  với  mức  giá, vừa  mua 2 ngày, màn hình  giọt nước...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
834	NS chúng trong tầm giá mày OK .... Xài mượt vân tay nhạy ......	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
859	ứng_dụng lỗi thêm sản_phẩm vàogiỏ hàng rồi mà không có gì hế...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
861	tôi sài app này hơn 3 năm rồi mà lúc đầu cũg ổn nhưg rồi từ_...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
888	Dùng thì cứ đơ linh_kiện_điện_tử bấm mãi mới khởi động lại s...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
890	Sản phẩm không thể chê ở điểm nào trong tầm giá này. Nhưng n...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
898	Sau cập nhật ngày 25/10 vân tay nhận diện khá là ok nhưng ch...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
903	Mới mua,, nghe gọi cảm nhạy vì thích Nokia nên mua tiếp em n...	Target 'ứng dụng' không tìm thấy trong text | Target 'màn hình' không tìm thấy trong text | Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
915	Với giá tầm trung và được chip 660 thì OK.. nhưng thỉnh thoả...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
921	cũng được nhưng tiền ship hơi_chác với tôi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
927	người đáng hàng thân_thiện giao trước ngày ổn_định chất_lượn...	Target 'giao hàng' không tìm thấy trong text
931	TGDD làm ăn cứng nhắc quá mua cái máy lổi pin về cảm giác kh...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
936	app như lờ_shiper cục súc không giao mà lừa_dối giao rồi chỉ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
939	Bán giá trên trời ! Con này tôi mua chính hãng nửa tháng trư...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
949	mua hàng trên nền_tảng này giá hợp_lí giao hàng nhanh nhưng ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
962	shopee luôn giá tốt hơn sàn khác nhưng cũng_nên quan_tâm đến...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
975	Từ lúc cập nhật android 10 máy sạc pin chậm hơnvà có lúc ,, ...	Target 'màn hình' không tìm thấy trong text
980	order không có hàng mà không báo cho khách_hàng...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1004	k bao hàng cẩn_thận đợt sau nhé...	Target 'shop' không tìm thấy trong text
1034	lần đầu xóa lazada sau 9 năm sử_dụng với cương_vị vừa là ngư...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1036	ứng_dụng người bán và người giao hàng_không liên_kết gì nhau...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1044	NS chúng trong tầm giá mày OK .... Xài mượt vân tay nhạy ......	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1049	như luôn có việc chọn ngày_sinh thôi mà cũng đơ luôn vãi...	Target 'app' không tìm thấy trong text
1055	Cho hỏi máy vừa mua được 1 ngày từ 00 giờ đên 5 giờ sáng tắt...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1060	qoảng_cáo một kiểu giao hàng một kiểu không đúng sản_phẩm mà...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1067	app ncl trên app thì thông_báo hàng đã giao thành_công mà 2 ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1069	lừa_đảo dịch_vụ quá tệ đặt đơn hàng đã thanh_toán nhưng hơn ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1071	giao hàng ổn nhưng app không quá tốt...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1072	hình_ảnh thì free ship mà tiền ship tận 44 k hình_ảnh thì gi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1080	mới đặt cái đơn 0 có mã giảm_giá mà gần tết nó thấy vậy khôn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1081	Mình dùng hơn 1 tháng, bị rơi từ 1m úp xuống đất nhưng không...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1125	shop giao thiếu hàng , không nói không , tự_động bỏ tiền vào...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1131	1, Pin hao hơi nhanh. Hao nhanh hơn Oppo A5s mới đã dùng thá...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1149	hình_như mấy sàn thương_mại_điện_tử giờ không cần khách_hàng...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1157	Sản phẩm với mức giá vậy là rất tốt rồi .lại là sp của Việt ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1159	Mình mua chính hãng tại thế giới di động đã cập nhật MIUI 11...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1161	giao sai sản_phẩm nhưng không được chấp_nhận trả hàng có dấu...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1169	mua 3c màu đen , vàng , nâu đất thì giao nhầm 1 màu đen thàn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1170	giao sai sản_phẩm mà không chịu hoàn tiền lại cho người ta ứ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1183	lần đầu xóa lazada sau 9 năm sử_dụng với cương_vị vừa là ngư...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1189	Sefie ng khèmàu .mà So với tầm giá này thì thất vọng quá..và...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1204	app bán cho bọn tây hay j mà chọn tiếng việt r cũng tiếng an...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1206	Sau cập nhật ngày 25/10 vân ổn áp nhận diện khá là ok nhưng ...	Target 'vân tay' không tìm thấy trong text | Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1234	Mua máy từ ngày 22/12/2019 hư phần mềm máy không nhận nguồn ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1235	lắm rất tình...	Target 'phần_mềm' không tìm thấy trong text
1241	Giờ thực cập nhật tự động là 1 đường, trên thanh trạng thái ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1245	Hôm mất Đt đaq chả biết mua gì thì thấy quảng cáo ra bốc luô...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1265	Mới dùng được 10 ngày thấy ổn trong tầm giá. Chụp ảnh đẹp. C...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1267	tốt tiện_lợi nhưng khâu quản_lý giao hàng cần đúng mẫu hơn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1274	Tầm giá 6tr thì mk not8pro này là ngon nhất r. Máy rất Pin t...	Target 'cập nhật' không tìm thấy trong text
1280	đừng lượng pin 5000 nhưng không dùng pin vẫn tụt dù app ngầm...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1292	giá rẻ mà chất_lượng ổn quá...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1294	Sản phẩm đẹp, thái độ nhân viên tốt, chơi Liên Quân với Free...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1312	tài_khoản của tôi đã bị lỗi cr01 không cho sử_dụng voucher m...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1315	ít_mã giảm_giá phí vận_chuyển quá cao mua cái hàng giá có 15...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1335	lần sau thiếu hàng shop nên nt với ng mua trc , chứ đừng tự_...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1347	Trong tầm giá thì xài cũng đc .mỗi cái vân tay vs mở khóa kh...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1358	khá ổn nhưng giá không quá tốt...	Target 'ứng_dụng' không tìm thấy trong text | Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1360	Mk dùng đc mấy ngày thì mướt xong bị tình trạng lướt như đua...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1363	Đt a92 này đag xem hoặc đag chơi j đó hay bị out ra ngoài......	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1365	giá tương đối tốt nhưng app chưa ổn lắm...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1369	Chip 636/4G mà giá 11tr ( hài ) loại này giá khoảng 6tr cao ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1371	giao cũng nhanh_đơn cũng rẻ mà mấy này ht cho voucher r qua ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1385	không tôn_trọng ý khách_hàng trải_nghiệm mua hàng tệ_hại mìn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1387	form lên khá ưng , màu đẹp nhưng chất không thấm mồ_hôi nên ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1391	Mình mua con active được 1 năm. Mặt lưng ọp ẹp. Cảm ứng bị l...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1398	app bỏ tiền ra quảng_cáo rất nhiều trên các app khác nhưng c...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1412	đóng_gói sản_phẩm không được đẹp nhưng sản_phẩm vừa_vặn , ph...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1429	nhiều cửa_hàng bán hàng kém chất_lượng nhưng tiki không có c...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1450	cấu hình vô địch trong tầm giá , nhưng sóng gió không biết t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1470	Với giá tầm trung và được chip 660 thì OK.. nhưng thỉnh thoả...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1471	sử_dụng ứng_dụng mà gặp phải quảng_cáo của lazada là rất bực...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1475	ổn áp cái mượt...	Target 'ứng_dụng' không tìm thấy trong text
1490	trên tiêu_đề shop ghi date 2020 nhưng nhận hàng date 2019...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1494	Tui mua bên tgdd và đag sài ss a51 theo cảm nhận của tui màn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1495	hi_mình cảm_thấy ứng_dụng rất hay nhưng không hiểu tại_sao t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1532	app ổn nhưng giá không quá tốt...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1541	Chất lượng kém so vs giá sp , pin 5000 mà tụt nhanh quá, cam...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1554	mong là được free ship chứ mua có 20 k_hà mà tiền ship 35 k...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1560	Mới mua được hơn 1 tháng màn hình bị lỗi có 1 chấm xanh trên...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1562	Pin 5000 mà sài hết hơi nhanh,giá thì hơi cao so với máy á,m...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
1563	mua hàng nhiều voucher tin_cậy việt_nam uy_tín...	Target 'phần_mềm' không tìm thấy trong text
