content,score,app_source,sentiment,language,review_text_clean,review_text_segmented
"phương thức hoàn hàng rút đi còn 2 cái, bắt phải liên kết với tknh nhưng đến lúc ngta liên kết thì báo lỗi liên tục không cho liên kết",1,com.shopee.vn,negative,vi,phương thức hoàn hàng rút đi còn 2 cái bắt phải liên kết với tknh nhưng đến lúc ngta liên kết thì báo lỗi liên tục không cho liên kết,phương_thức hoàn_hàng rút đi còn 2 cái bắt phải liên_kết với tknh nhưng đến lúc ngta liên_kết thì báo lỗi liên_tục không cho liên_kết
ĐVVC shoppe và người bán cấu kết nhau lừa tiền khách hàng . đặt đơn này giao thiếu mà tráo hàng khách nữa . giờ không hoàn tiền người bán gửi hàng trở về trong khi lỗi của bên đó . tui đặt chai tím chứ có đặt quà tặng mà không đúng đó đâu . làm ăn lừa đảo,1,com.shopee.vn,negative,vi,đvvc shoppe và người bán cấu kết nhau lừa tiền khách hàng đặt đơn này giao thiếu mà tráo hàng khách nữa giờ không hoàn tiền người bán gửi hàng trở về trong khi lỗi của bên đó tui đặt chai tím chứ có đặt quà tặng mà không đúng đó đâu làm ăn lừa đảo,đvvc shoppe và người bán cấu_kết nhau lừa tiền khách_hàng đặt đơn này giao thiếu mà tráo hàng khách nữa giờ không hoàn tiền người bán gửi hàng trở về trong khi lỗi của bên đó tui đặt chai tím chứ có đặt quà tặng mà không đúng đó đâu làm_ăn lừa_đảo
hàng chất lượng tốt bền đẹp,5,com.shopee.vn,positive,vi,hàng chất lượng tốt bền đẹp,hàng chất_lượng tốt bền đẹp
tự nhiên khóa nich và sdt,1,com.shopee.vn,negative,vi,tự nhiên khóa nich và sdt,tự_nhiên khóa_nich và sdt
"có nhiều cái hay , hay mở mấy đợt sale sốc á",5,com.shopee.vn,positive,vi,có nhiều cái hay hay mở mấy đợt sale sốc á,có nhiều cái hay hay mở mấy đợt sale sốc á
ok rất tốt,5,com.shopee.vn,positive,vi,ok rất tốt,ok rất tốt
sản phẩm chất lượng tốt như shop quảng cáo,5,com.shopee.vn,positive,vi,sản phẩm chất lượng tốt như shop quảng cáo,sản_phẩm chất_lượng tốt như shop quảng_cáo
tot,5,com.shopee.vn,positive,vi,tot,tot
quảng cáo cc,1,com.shopee.vn,negative,vi,quảng cáo cc,quảng_cáo cc
rất nhiều tiệm ích,5,com.shopee.vn,positive,vi,rất nhiều tiệm ích,rất nhiều tiệm_ích
"đang lướt phở bò hoặc tiktok, không làm gì, không đụng chạm tới app shoppe, mà nó cũng tự bật lên ứng dụng shoppe, gây khó chịu. app tự chạy ngầm 1,3gb ram ?? Chơi games cũng bị, giờ mỗi lần mua đồ trên shoppe xong lại phải xóa app, nào muốn mua thì tải lại rồi lại xóa ?? chứ còn cách nào nữa đâu app Shoppe gây khó chịu cho người dùng mong nhà phát triển xem xét điều chỉnh lại",1,com.shopee.vn,negative,vi,đang lươ t phở bò hoă c tiktok không la m gi không đụng chạm tới app shoppe mà nó cu người tự bâ t lên ư người du người shoppe gây kho chịu app tự chạy ngầm 1 3gb ram chơi games cu người bị giờ mỗi lần mua đồ trên shoppe xong lại phải xo a app nào muô n mua thì tải lại rô i lại xóa chứ co n ca ch nào nữa đâu app shoppe gây khó chịu cho ngươ i du người mong nha pha t triê n xem xe t điều chi nh lại,đang lươ t phở bò hoă c tiktok không la m gi không đụng_chạm tới app shoppe mà nó cu người tự bâ t lên ư người du_người shoppe gây kho chịu app tự chạy ngầm 1 3 gb ram chơi games cu người bị giờ mỗi lần mua đồ trên shoppe xong lại phải xo a_app nào muô n mua thì tải lại rô i lại xóa chứ co_n ca ch nào nữa đâu app_shoppe gây khó_chịu cho ngươ i_du người mong_nha pha t triê n xem xe t điều chi_nh lại
lâu cx đc mấy đơn 0₫ cx đc á,5,com.shopee.vn,positive,vi,lâu cũng đc mấy đơn 0 cũng đc á,lâu cũng đc mấy đơn 0 cũng đc á
shop này lừa đảo quá nói sỉ ba hộp cuối cùng có một hộp thôi cho một sao thôi,1,com.shopee.vn,negative,vi,shop này lừa đảo quá nói sỉ ba hộp cuối cùng có một hộp thôi cho một sao thôi,shop này lừa_đảo quá nói sỉ ba hộp cuối_cùng có một hộp thôi cho một sao thôi
giá rât re và thât tuyet voi nhung mua nhieu thi lai tang gia thui và đa lay hang rui ma con bi huy nua,5,com.shopee.vn,positive,vi,giá rât re và thât tuyet voi nhung mua nhieu thi lai tang gia thui và đa lay hang rui ma con bi huy nua,giá rât re và thât tuyet voi nhung mua nhieu thi lai_tang gia_thui và đa_lay hang rui ma con bi_huy_nua
ứng dụng tiện lợi tốt,5,com.shopee.vn,positive,vi,ứng dụng tiện lợi tốt,ứng_dụng tiện_lợi tốt
quảng cáo quá nhiều,3,com.shopee.vn,neutral,vi,quảng cáo quá nhiều,quảng_cáo quá nhiều
sử dụng sdt vẫn thế mà bảo rằng không thể vào được là sao vậy??,1,com.shopee.vn,negative,vi,sử dụng sdt vẫn thế mà bảo rằng không thể vào được là sao vậy,sử_dụng sdt vẫn thế_mà bảo rằng không_thể vào được là sao vậy
nhìn rất xinh,5,com.shopee.vn,positive,vi,nhìn rất xinh,nhìn rất xinh
"nó giúp tôi mua đồ,có vocher và rẻ hơn bên ngoài",5,com.shopee.vn,positive,vi,nó giúp tôi mua đồ có vocher và rẻ hơn bên ngoài,nó giúp tôi mua đồ có vocher và rẻ hơn bên ngoài
Mua hàng ở tin áp cũng được,4,com.shopee.vn,positive,vi,mua hàng ở tin áp cũng được,mua hàng ở tin_áp cũng được
mua hàng online ngon,5,com.shopee.vn,positive,vi,mua hàng online ngon,mua hàng online ngon
có những lúc bị lag và đơ,4,com.shopee.vn,positive,vi,có những lúc bị lag và đơ,có những lúc bị lag và đơ
giáo hàng nhanh rẻ,5,com.shopee.vn,positive,vi,giáo hàng nhanh rẻ,giáo hàng nhanh rẻ
rất tốt,5,com.shopee.vn,positive,vi,rất tốt,rất tốt
5 sao,5,com.shopee.vn,positive,vi,5 sao,5 sao
giá rẻ. mua trả thuận tiện,5,com.shopee.vn,positive,vi,giá rẻ mua trả thuận tiện,giá rẻ mua trả thuận_tiện
cũng được,3,com.shopee.vn,neutral,vi,cũng được,cũng được
shoppe luôn luôn tốt,5,com.shopee.vn,positive,vi,shoppe luôn luôn tốt,shoppe luôn_luôn tốt
Shopee hiện nay làm việc chỉnh chu và rất nghiêm túc cho nên cách phục vụ tốt lên nhiều . Rất hài lòng với trang TMĐT của shopee . Chúc cho SHOPEE luôn cải thiện và ngày càng phát triển mạnh . Rât cám ơn .,5,com.shopee.vn,positive,vi,shopee hiện nay làm việc chỉnh chu và rất nghiêm túc cho nên cách phục vụ tốt lên nhiều rất hài lòng với trang tmđt của shopee chúc cho shopee luôn cải thiện và ngày càng phát triển mạnh rât cám ơn,shopee hiện_nay làm_việc chỉnh_chu và rất nghiêm_túc cho_nên cách phục_vụ tốt lên nhiều rất hài_lòng với trang_tmđt của shopee_chúc cho shopee luôn cải_thiện và ngày_càng phát_triển mạnh rât cám_ơn
"ok , giao hơi lâu , nhưng uy tín đấy 🙂‍↔️",5,com.shopee.vn,positive,vi,ok giao hơi lâu nhưng uy tín đấy,ok giao_hơi lâu nhưng uy_tín đấy
"yêu cầu trả hàng, shipper thì không vào lấy hàng, yêu cầu 2 lần cũng như không, khiếu nại với nhận viên thì cũng chả được tích sự gì. đúng là bọn phế vật, ra tính năng trả hàng chắc chỉ để chưng với ngầu, tăng uy tín ngu. đúng là bọn bịp",1,com.shopee.vn,negative,vi,yêu cầu trả hàng shipper thì không vào lấy hàng yêu cầu 2 lần cũng như không khiếu nại với nhận viên thì cũng chả được tích sự gì đúng là bọn phế vật ra tính năng trả hàng chắc chỉ để chưng với ngầu tăng uy tín ngu đúng là bọn bịp,yêu_cầu trả hàng shipper thì không vào lấy hàng yêu_cầu 2 lần cũng như không khiếu_nại với nhận_viên thì cũng chả được tích_sự gì đúng là bọn phế_vật ra tính_năng trả hàng chắc chỉ để chưng với ngầu tăng uy_tín_ngu đúng là bọn bịp
OK,5,com.shopee.vn,positive,vi,ok,ok
"app thân thiện với người dùng, cần quy định các nhà bán hàng phải đăng đúng sản phẩm, nhiều gian hàng đang QC gây hiểu lằm và sai sản phẩm. cần khóa gian hàng người bán hàng lừa đảo.",4,com.shopee.vn,positive,vi,app thân thiện với người dùng cần quy định các nhà bán hàng phải đăng đúng sản phẩm nhiều gian hàng đang qc gây hiểu lằm và sai sản phẩm cần khóa gian hàng người bán hàng lừa đảo,app thân_thiện với người dùng cần quy_định các nhà bán hàng phải đăng đúng sản_phẩm nhiều gian_hàng đang qc gây hiểu lằm và sai sản_phẩm cần khóa gian_hàng người bán hàng lừa_đảo
thông báo mất dạy,1,com.shopee.vn,negative,vi,thông báo mất dạy,thông_báo mất dạy
app toàn bán điêu,1,com.shopee.vn,negative,vi,app toàn bán điêu,app toàn bán điêu
Giao hàng quá kém bắt khách hàng đợi lâu hơn dự kiến mấy ngày vẫn hẹn . hẹn ngày hẹn lượt. không có uy tính. hẹn tới hẹn lui chẳng thấy hàng đâu.,1,com.shopee.vn,negative,vi,giao hàng quá kém bắt khách hàng đợi lâu hơn dự kiến mấy ngày vẫn hẹn hẹn ngày hẹn lượt không có uy tính hẹn tới hẹn lui chẳng thấy hàng đâu,giao hàng quá kém bắt khách_hàng đợi lâu hơn dự_kiến mấy ngày vẫn hẹn hẹn ngày hẹn lượt không có uy_tính hẹn tới hẹn_lui chẳng thấy hàng đâu
"khá là ok, giảm giá quá ngon",5,com.shopee.vn,positive,vi,khá là ok giảm giá quá ngon,khá là ok giảm_giá quá ngon
tệ,1,com.shopee.vn,negative,vi,tệ,tệ
đơn về kho mấy hôm mà không thấy giao,1,com.shopee.vn,negative,vi,đơn về kho mấy hôm mà không thấy giao,đơn về kho mấy hôm mà không thấy giao
tôi thấy khá OK vận chuyển hơi lâu nhưng với nông thôn thì không có gì đòi hỏi. nói chung vậy khá hài lòng rồi,4,com.shopee.vn,positive,vi,tôi thấy khá ok vận chuyển hơi lâu nhưng với nông thôn thì không có gì đòi hỏi nói chung vậy khá hài lòng rồi,tôi thấy khá ok vận_chuyển hơi lâu nhưng với nông_thôn thì không có gì đòi_hỏi nói_chung vậy khá hài_lòng rồi
Mua hàng đổi trả được không mất phí ship,5,com.shopee.vn,positive,vi,mua hàng đổi trả được không mất phí ship,mua hàng đổi trả được không mất phí ship
ưu,3,com.shopee.vn,neutral,vi,ưu,ưu
ít voucher 0đ,5,com.shopee.vn,positive,vi,ít voucher 0đ,ít voucher 0 đ
trả tiền cho shipper shipper không đưa hàng,1,com.shopee.vn,negative,vi,trả tiền cho shipper shipper không đưa hàng,trả tiền cho shipper shipper không đưa hàng
☆☆☆☆☆,5,com.shopee.vn,positive,vi,,
mua dễ dàng,5,com.shopee.vn,positive,vi,mua dễ dàng,mua dễ_dàng
hơn 5 sao,5,com.shopee.vn,positive,vi,hơn 5 sao,hơn 5 sao
"Hiện tại Shopee thay đổi chính sách, Khi hoàn hàng, Shopee không có hình thức đến lấy hàng tại nhà, mà chỉ có MANG ĐẾN BƯU CỤC, và TỰ SẮP XẾP, cho dù đơn đó hàng có lỗi hay không. Như vậy Shopee đang ""ép"" người dùng không cho trả hàng. Sẽ chuyển sang Tiktok mua hàng",1,com.shopee.vn,negative,vi,hiện tại shopee thay đổi chính sách khi hoàn hàng shopee không có hình thức đến lấy hàng tại nhà mà chỉ có mang đến bưu cục và tự sắp xếp cho dù đơn đó hàng có lỗi hay không như vậy shopee đang ép người dùng không cho trả hàng sẽ chuyển sang tiktok mua hàng,hiện_tại shopee thay_đổi chính_sách khi hoàn_hàng shopee không có hình_thức đến lấy hàng tại nhà mà chỉ có mang đến bưu_cục và tự sắp_xếp cho_dù đơn đó hàng có lỗi hay không như_vậy shopee đang ép người dùng không cho trả hàng sẽ chuyển sang tiktok mua hàng
tiện dụng,5,com.shopee.vn,positive,vi,tiện dụng,tiện_dụng
cũng cũng đôi khi hàng ko tới như đã hẹn nhưng vẫn tốt hơn ko tới và hàng đôi khi ko như trong hình ảnh nhưng tạm chấp nhận đc,3,com.shopee.vn,neutral,vi,cũng cũng đôi khi hàng không tới như đã hẹn nhưng vẫn tốt hơn không tới và hàng đôi khi không như trong hình ảnh nhưng tạm chấp nhận đc,cũng cũng đôi_khi hàng_không tới như đã hẹn nhưng vẫn tốt hơn không tới và hàng đôi_khi không như trong hình_ảnh nhưng tạm chấp_nhận đc
"Ngâm đơn hàng rất rất lâu, có hối cũng không giải quyết cho khách hàng",1,com.shopee.vn,negative,vi,ngâm đơn hàng rất rất lâu có hối cũng không giải quyết cho khách hàng,ngâm đơn hàng rất rất lâu có hối cũng không giải_quyết cho khách_hàng
"nhanh, tiện lợi, cơ bản gì cũng có đầy đủ theo nhu cầu",5,com.shopee.vn,positive,vi,nhanh tiện lợi cơ bản gì cũng có đầy đủ theo nhu cầu,nhanh tiện_lợi cơ_bản gì cũng có đầy_đủ theo nhu_cầu
