app,content,score,sentiment,review_clean,review_segmented,language,original_label,cleaned_label,text_pred,text_conf,text_reason,final_label,decision_type,final_confidence
Lazada,hayyy lắm nha,5,positive,hay lắm nha,hay lắm nha,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"đa dạng sản phẩm,",5,positive,đa dạng sản phẩm,đa_dạng sản_phẩm,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,bán hàng hóa rẻ,5,positive,bán hàng hóa rẻ,bán hàng hóa rẻ,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"dễ tìm sản phẩm, giao nhanh, xem được tiến độ giao hàng. trả hàng,hoàn tiền cũng đơn giản.",5,positive,dễ tìm sản phẩm giao nhanh xem được tiến độ giao hàng trả hàng hoàn tiền cũng đơn giản,dễ tìm sản_phẩm giao nhanh xem được tiến_độ giao hàng trả hàng hoàn_tiền cũng đơn_giản,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,"uy tín, nhanh gọn",5,positive,uy tín nhanh gọn,uy_tín nhanh gọn,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,làm việc chuyên nghiệp!,5,positive,làm việc chuyên nghiệp,làm_việc chuyên_nghiệp,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,Nay có 1 ít khuyến mãi nhưng không bằng shoppe nên cho 4 sao,4,positive,nay có 1 ít khuyến mãi nhưng không bằng shoppe nên cho 4 sao,nay có 1 ít khuyến_mãi nhưng không bằng shoppe nên cho 4 sao,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,good tốt👍,5,positive,good tốt,good tốt,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,khá tốt,4,positive,khá tốt,khá tốt,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Giao hang nhanh ma con re .ung ho đi moi nguoi.,5,positive,giao hang nhanh ma con re ung ho đi moi nguoi,giao hang nhanh ma con re ung_ho đi moi nguoi,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"app khá ok, tiện lợi, thích hơn các app bán hàng online khác.",5,positive,app khá ok tiện lợi thích hơn các app bán hàng online khác,app khá ok_tiện lợi_thích hơn các app bán hàng online khác,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Lazada,hàng của bạn quá chuẩn,5,positive,hàng của bạn quá chuẩn,hàng của bạn quá chuẩn,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,😊😊😊😊😊 OK,5,positive,ok,ok,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,"Chuẩn hàng, nhưng giá hơi cao so vs cửa hàng khác",5,positive,chuẩn hàng nhưng giá hơi cao so vs cửa hàng khác,chuẩn hàng nhưng giá hơi cao so vs cửa_hàng khác,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,Lazada hay tung ra mấy giá ngon lành cành đào,5,positive,lazada hay tung ra mấy giá ngon lành cành đào,lazada hay tung ra mấy giá ngon_lành cành đào,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Shopee,tốt 👍💯,5,positive,tốt,tốt,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,nên để thông tin shipper giao hàng trên app để cho khách hàng biết,5,positive,nên để thông tin shipper giao hàng trên app để cho khách hàng biết,nên để thông_tin shipper giao hàng trên app để cho khách_hàng biết,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,good and trustable,5,positive,good and trustable,good and trustable,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,ngon chất lượng,5,positive,ngon chất lượng,ngon chất_lượng,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,nhanh và tiện lợi,5,positive,nhanh và tiện lợi,nhanh và tiện_lợi,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"Rất thích, các bạn rất nhiệt tình , thân thiện, vui vẻ, bảo quản hàng giao khá tốt.",5,positive,rất thích các bạn rất nhiệt tình thân thiện vui vẻ bảo quản hàng giao khá tốt,rất thích các bạn rất nhiệt_tình thân_thiện vui_vẻ bảo_quản hàng giao khá tốt,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Lazada,"Quỵt tiền của khách, khuyên mọi người mua thì đừng sử dụng các phương thức thanh toán như qua thẻ ngân hàng hay gì. Tốt nhất chỉ nên chọn COD. Mình bị lazada hủy 2 đơn xong ko hoàn lại tiền cho mình",1,negative,quỵt tiền của khách khuyên mọi người mua thì đừng sử dụng các phương thức thanh toán như qua thẻ ngân hàng hay gì tốt nhất chỉ nên chọn cod mình bị lazada hủy 2 đơn xong không hoàn lại tiền cho mình,quỵt tiền của khách khuyên mọi người mua thì đừng sử_dụng các phương_thức thanh_toán như qua thẻ ngân_hàng hay gì tốt nhất chỉ nên chọn cod mình bị lazada hủy 2 đơn xong không hoàn lại tiền cho mình,vi,1,0,1.0,0.7,2 từ tích cực,0.0,score_based,1.0
Shopee,"giao hàng nhanh, đúng hẹn, giá rẻ, uy tín",5,positive,giao hàng nhanh đúng hẹn giá rẻ uy tín,giao hàng nhanh đúng hẹn giá rẻ uy_tín,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Shopee,"Hàng đa dạng, đẹp, sd tiện lợi",4,positive,hàng đa dạng đẹp sd tiện lợi,hàng đa_dạng đẹp sd_tiện lợi,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"shoppe thì đt ai cx phải tải rùi ,nhiều món đồ đa dạng",5,positive,shoppe thì đt ai cũng phải tải rùi nhiều món đồ đa dạng,shoppe thì đt ai cũng phải tải rùi nhiều món đồ đa_dạng,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,Game hay 10₫ chơi game mà còn có tiền nữa thì còn gì bằng mãi iu Lazada❤️🇻🇳,5,positive,game hay 10 chơi game mà còn có tiền nữa thì còn gì bằng mãi iu lazada,game hay 10 chơi game mà_còn có tiền nữa thì còn gì bằng mãi iu lazada,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Giá hơi chát,4,positive,giá hơi chát,giá hơi chát,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"có nhiều mặt hàng treo đầu dê bán thịt cày quá(giày,điện thoại....)cần loại bớt!",4,positive,có nhiều mặt hàng treo đầu dê bán thịt cày quá giày điện thoại cần loại bớt,có nhiều mặt_hàng treo đầu dê bán thịt cày quá giày điện_thoại cần loại bớt,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,"Lướt tìm sp mà toàn hiện lên bảng kêu chia sẻ link cho bạn bè, affiliate, rất là khó chịu, out cho nhanh",1,negative,lướt tìm sản phẩm mà toàn hiện lên bảng kêu chia sẻ link cho bạn bè affiliate rất là khó chịu out cho nhanh,lướt tìm sản_phẩm mà toàn hiện lên bảng kêu chia_sẻ link cho bạn_bè affiliate rất là khó_chịu out cho nhanh,vi,1,0,,0.0,Không rõ ràng,0.0,score_based,1.0
Shopee,có nhiều sản phẫm nhìn rất thích nhưng cài đặt rồi mà vô mua ko đc,5,positive,có nhiều sản phẫm nhìn rất thích nhưng cài đặt rồi mà vô mua không được,có nhiều sản_phẫm nhìn rất thích nhưng cài_đặt rồi mà vô mua không được,vi,1,1,0.0,0.7,Có phủ định + từ tích cực,1.0,score_based,1.0
Tiki,Cảm thấy rất vui khi có ứng dụng tiki,5,positive,cảm thấy rất vui khi có ứng dụng tiki,cảm_thấy rất vui khi có ứng_dụng tiki,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,quá tuyệt vờiiiii,5,positive,quá tuyệt vời,quá tuyệt_vời,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Ứng dụng rất ưng cái bụng,5,positive,ứng dụng rất ưng cái bụng,ứng_dụng rất ưng cái bụng,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,tôi rất thích aap này,5,positive,tôi rất thích aap này,tôi rất thích aap này,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,"Tốt, nhiều trải nghiệm",5,positive,tốt nhiều trải nghiệm,tốt nhiều trải_nghiệm,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,"lazada dạo này mua gì cũng mắc,phí vận chuyển cao. mấy tháng nay mình toàn mua đồ tiktok, shopee",5,positive,lazada dạo này mua gì cũng mắc phí vận chuyển cao mấy tháng nay mình toàn mua đồ tiktok shopee,lazada dạo này mua gì cũng mắc_phí vận_chuyển cao mấy tháng nay mình toàn mua đồ tiktok shopee,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Cái này rất tốt,5,positive,cái này rất tốt,cái này rất tốt,vi,1,1,1.0,0.85,Có 'rất tốt',1.0,score_based,1.0
Shopee,ap này ngon thí mua đc 10 bị bánh tráng xi ké có 100 kk,5,positive,ap này ngon thí mua được 10 bị bánh tráng xi ké có 100 kk,ap này ngon_thí mua được 10 bị bánh tráng xi_ké có 100 kk,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Ứng dụng giao hàng chất lượng nhưng hơi lâu.Mong lần sau rút kinh nhiệm,5,positive,ứng dụng giao hàng chất lượng nhưng hơi lâu mong lần sau rút kinh nhiệm,ứng_dụng giao hàng chất_lượng nhưng hơi lâu_mong lần sau rút kinh_nhiệm,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,Ứng dụng hay,5,positive,ứng dụng hay,ứng_dụng hay,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Gọi điện thoại rồi hẹn Cho khách chờ hoài không thấy kì quá,5,positive,gọi điện thoại rồi hẹn cho khách chờ hoài không thấy kì quá,gọi điện_thoại rồi hẹn cho khách chờ hoài không thấy kì quá,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"tại sao shopee lại liên kết với giao hàng nhanh. Tên là giao hàng nhanh mà cùng Hà Nội, 1 tuần chưa giao",1,negative,tại sao shopee lại liên kết với giao hàng nhanh tên là giao hàng nhanh mà cùng hà nội 1 tuần chưa giao,tại_sao shopee lại liên_kết với giao hàng nhanh tên là giao hàng nhanh mà cùng hà_nội 1 tuần chưa giao,vi,1,0,,0.0,Không rõ ràng,0.0,score_based,1.0
Tiki,Đỉnh trên đỉnh ♥️,5,positive,đỉnh trên đỉnh,đỉnh trên đỉnh,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Tiki rất tốt.,5,positive,tiki rất tốt,tiki rất tốt,vi,1,1,1.0,0.85,Có 'rất tốt',1.0,score_based,1.0
Tiki,"yêu tiki vì giá cả phải chăng và chất lượng sản phẩm. Tuy nhiên vẫn cần cải thiện vì hệ thống tìm sản phẩm chưa được tốt và chưa có nhiều sản phẩm ""hút khách"". Cố lên!!",5,positive,yêu tiki vì giá cả phải chăng và chất lượng sản phẩm tuy nhiên vẫn cần cải thiện vì hệ thống tìm sản phẩm chưa được tốt và chưa có nhiều sản phẩm hút khách cố lên,yêu tiki vì giá_cả phải_chăng và chất_lượng sản_phẩm tuy_nhiên vẫn cần cải_thiện vì hệ_thống tìm sản_phẩm chưa được tốt và chưa có nhiều sản_phẩm hút khách cố lên,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,xin chao tiki,5,positive,xin chao tiki,xin chao tiki,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,tốt rất tốt,5,positive,tốt rất tốt,tốt rất tốt,vi,1,1,1.0,0.85,Có 'rất tốt',1.0,score_based,1.0
Tiki,Rất đáng tải,5,positive,rất đáng tải,rất đáng tải,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Rất là hài lòng dao hàng nhanh,5,positive,rất là hài lòng dao hàng nhanh,rất là hài_lòng dao hàng nhanh,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,laZada vui hơn shopee,5,positive,lazada vui hơn shopee,lazada vui hơn shopee,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,hi vọng shopee có thêm nhiều ưu đãi,4,positive,hi vọng shopee có thêm nhiều ưu đãi,hi_vọng shopee có thêm nhiều ưu_đãi,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,"Đã tự hủy đơn hàng Rồi,, tại sao không hoàn tiền lại cho tôi ? Đơn hàng muốn hủy thì cũng phải thông báo cho tôi biết chứ,,xem tôi có đồng ý ko ??? Đằng này ko vi phạm bất cứ điều gì từ tiki từ shop,,khi ko lại hủy đơn hàng của tôi Tiki nào giờ uy tín lắm mà,,sao hôm nay lại làm việc thiếu trách nhiệm thiếu tôn trọng khách hàng quá vậy Lẽ ra là 0 có 1 sao luôn,,do Google bắt buộc,nên phải cắn răng cho 1 sao vậy 🔥",1,negative,đã tự hủy đơn hàng rồi tại sao không hoàn tiền lại cho tôi đơn hàng muốn hủy thì cũng phải thông báo cho tôi biết chứ xem tôi có đồng ý không đằng này không vi phạm bất cứ điều gì từ tiki từ cửa hàng khi không lại hủy đơn hàng của tôi tiki nào giờ uy tín lắm mà sao hôm nay lại làm việc thiếu trách nhiệm thiếu tôn trọng khách hàng quá vậy lẽ ra là 0 có 1 sao luôn do google bắt buộc nên phải cắn răng cho 1 sao vậy,đã tự hủy đơn hàng rồi tại_sao không hoàn tiền lại cho tôi đơn hàng muốn hủy thì cũng phải thông_báo cho tôi biết chứ xem tôi có đồng_ý không đằng này không vi_phạm bất_cứ điều gì từ tiki từ cửa_hàng khi không lại hủy đơn hàng của tôi tiki nào giờ uy_tín lắm mà sao hôm_nay lại làm_việc thiếu trách_nhiệm thiếu tôn_trọng khách_hàng quá vậy lẽ_ra là 0 có 1 sao luôn do google bắt_buộc nên phải cắn_răng cho 1 sao vậy,vi,1,0,,0.0,Không rõ ràng,0.0,score_based,1.0
Shopee,mua hàng với trải nghiệm shopee thật đã,5,positive,mua hàng với trải nghiệm shopee thật đã,mua hàng với trải_nghiệm shopee thật đã,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Giá ổn định,5,positive,giá ổn định,giá ổn_định,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Quá tốt !,5,positive,quá tốt,quá tốt,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Hàng chính hãng rất tốt,5,positive,hàng chính hãng rất tốt,hàng chính hãng rất tốt,vi,1,1,1.0,0.85,Có 'rất tốt',1.0,score_based,1.0
Tiki,"Tôi rất thích,Tiki có rất nhiều thứ đẹp và đe thương",5,positive,tôi rất thích tiki có rất nhiều thứ đẹp và đe thương,tôi rất thích tiki có rất nhiều thứ đẹp và đe_thương,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Shopee,"hàng rẻ,giao nhanh đúng hẹn",5,positive,hàng rẻ giao nhanh đúng hẹn,hàng rẻ giao nhanh đúng hẹn,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Tiki,Hay dùng app này mua sách,5,positive,hay dùng app này mua sách,hay dùng app này mua sách,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,rất tốt vì đơn đầu tiên đc giảm 60k,5,positive,rất tốt vì đơn đầu tiên được giảm 60k,rất tốt vì đơn đầu_tiên được giảm 60 k,vi,1,1,1.0,0.85,Có 'rất tốt',1.0,score_based,1.0
Shopee,"rất thích,thích những cái xu mỗi ngày,thích những vé voucher,thích vé miễn phí vận chuyển.Thích SHOPPE",5,positive,rất thích thích những cái xu mỗi ngày thích những vé voucher thích vé miễn phí vận chuyển thích shoppe,rất thích_thích những cái xu mỗi ngày thích những vé voucher thích vé miễn_phí vận_chuyển thích shoppe,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Hi phong,4,positive,hi phong,hi_phong,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,"dịch vụ tốt,sản phẩm chất lượng giao hàng nhanh",5,positive,dịch vụ tốt sản phẩm chất lượng giao hàng nhanh,dịch_vụ tốt sản_phẩm chất_lượng giao hàng nhanh,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Lazada,sản phẩm mua về sử dụng ok,5,positive,sản phẩm mua về sử dụng ok,sản_phẩm mua về sử_dụng ok,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,"Nên cụ thể quá trình ""trung chuyển"" cho khách hàng tiện theo dõi món hàng hiện đang ở khu vực nào !",5,positive,nên cụ thể quá trình trung chuyển cho khách hàng tiện theo dõi món hàng hiện đang ở khu vực nào,nên cụ_thể quá_trình trung_chuyển cho khách_hàng tiện theo_dõi món hàng hiện đang ở khu_vực nào,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Super toll,5,positive,super toll,super toll,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,cảm ơn shopee vì đã cho chúng tui nghĩ 1 ngày😀,5,positive,cảm ơn shopee vì đã cho chúng tui nghĩ 1 ngày,cảm_ơn shopee vì đã cho chúng tui nghĩ 1 ngày,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"đk vip voucher ko đc nhiu, thêm acc cũ thua thiệt acc mới hơi vô lý",5,positive,đk vip voucher không được nhiu thêm acc cũ thua thiệt acc mới hơi vô lý,đk vip voucher không được nhiu thêm acc cũ thua thiệt_acc mới hơi vô_lý,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,Quảng cáo quá nhiều gây phiền hả cho khách hàng,4,positive,quảng cáo quá nhiều gây phiền hả cho khách hàng,quảng_cáo quá nhiều gây phiền_hả cho khách_hàng,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"rất rẻ,tiện lợi",5,positive,rất rẻ tiện lợi,rất rẻ_tiện lợi,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,ok hop ly,5,positive,ok hop ly,ok hop ly,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,tốtt nha,5,positive,tốtt nha,tốtt nha,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"uy tím, giao hàng nhanh, không cọc, an toàn, giữ gìn hàng tốt, có trao đổi qua lại.",5,positive,uy tím giao hàng nhanh không cọc an toàn giữ gìn hàng tốt có trao đổi qua lại,uy tím giao hàng nhanh không cọc an_toàn giữ_gìn hàng tốt có trao_đổi qua_lại,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Tiki,Tiện thật tôi luôn ủng hộ xốp hết mình,5,positive,tiện thật tôi luôn ủng hộ xốp hết mình,tiện thật tôi luôn ủng_hộ xốp hết_mình,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,tui thử tải về giao hàng nhanh thì tui cho 5sao,4,positive,tui thử tải về giao hàng nhanh thì tui cho 5sao,tui thử_tải về giao hàng nhanh thì tui cho 5 sao,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,giá rẻ. mua trả thuận tiện,5,positive,giá rẻ mua trả thuận tiện,giá rẻ mua trả thuận_tiện,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,Good app. Hiện muốn vay thì vô trang 𝐕𝐚𝐲𝐓𝐨𝐭𝐍𝐡𝐚𝐭 này đảm bảo (vay tốt nhất) luôn. Nhận 9tr900 dễ phí cực tốt do em đang thiếu số tháng này.,5,positive,good app hiện muốn vay thì vô trang 𝐕𝐚𝐲𝐓𝐨𝐭𝐍𝐡𝐚𝐭 này đảm bảo vay tốt nhất luôn nhận 9tr900 dễ phí cực tốt do em đang thiếu số tháng này,good app hiện muốn vay thì vô_trang 𝐕𝐚𝐲𝐓𝐨𝐭𝐍𝐡𝐚𝐭 này đảm_bảo vay tốt nhất luôn nhận 9 tr900 dễ phí cực tốt do em đang thiếu số tháng này,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Mua món hàng 50k mà phí Giao Hàng Tiết Kiệm 147k không hiểu nổi Thôi xóa nhanh lập tức,1,negative,mua món hàng 50k mà phí giao hàng tiết kiệm 147k không hiểu nổi thôi xóa nhanh lập tức,mua món hàng 50 k mà phí giao hàng tiết_kiệm 147 k không hiểu nổi thôi xóa nhanh lập_tức,vi,1,0,,0.0,Không rõ ràng,0.0,score_based,1.0
Lazada,ứng dụng tốt mua hàng nhanh,5,positive,ứng dụng tốt mua hàng nhanh,ứng_dụng tốt mua hàng nhanh,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Lazada,"rất tiện lợi, giá cả tùy lựa chọn , phục vụ tốt. Ủng hộ nhiệt tình.",5,positive,rất tiện lợi giá cả tùy lựa chọn phục vụ tốt ủng hộ nhiệt tình,rất tiện_lợi giá_cả tùy lựa_chọn phục_vụ tốt ủng_hộ nhiệt_tình,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Cũng ok nhưng ko bằng shopee :),5,positive,cũng ok nhưng không bằng shopee,cũng ok nhưng không bằng shopee,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Ủng hộ hàng việt,5,positive,ủng hộ hàng việt,ủng_hộ hàng việt,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,rất tiện lợi và nhiều ưu đãi,4,positive,rất tiện lợi và nhiều ưu đãi,rất tiện_lợi và nhiều ưu_đãi,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,100 điểm ko có nhưng nha🤭,5,positive,100 điểm không có nhưng nha,100 điểm không có nhưng nha,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,Shopee giao hàng nhanh.,5,positive,shopee giao hàng nhanh,shopee giao hàng nhanh,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"Cảm nhận sự tiến bộ trong cách quản lý là 5 sao cũ. Giờ là 1 sao, thay đổi kiểu gì mà lượt bán ảo khó nhận ra, đánh giá ảo tùm lum hết, mua phải hàng giả lại rườm rà đổi trả, tìm hàng uy tín cũng khó hơn.",1,negative,cảm nhận sự tiến bộ trong cách quản lý là 5 sao cũ giờ là 1 sao thay đổi kiểu gì mà lượt bán ảo khó nhận ra đánh giá ảo tùm lum hết mua phải hàng giả lại rườm rà đổi trả tìm hàng uy tín cũng khó hơn,cảm_nhận sự tiến_bộ trong cách quản_lý là 5 sao cũ giờ là 1 sao thay_đổi kiểu gì mà lượt bán_ảo khó nhận ra đánh_giá ảo tùm_lum hết mua phải hàng giả lại rườm_rà đổi trả tìm hàng uy_tín cũng khó hơn,vi,1,0,,0.0,Không rõ ràng,0.0,score_based,1.0
Tiki,Shop giá rẻ vào nhanh,5,positive,cửa hàng giá rẻ vào nhanh,cửa_hàng giá rẻ vào nhanh,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Lazada,"công ty nên điều tra cách làm ăn nha, e bị mất tiền oan uổng",1,negative,công ty nên điều tra cách làm ăn nha e bị mất tiền oan uổng,công_ty nên điều_tra cách làm_ăn nha_e bị mất tiền oan uổng,vi,1,0,,0.0,Không rõ ràng,0.0,score_based,1.0
Lazada,đặt hàng dễ lắm mn,5,positive,đặt hàng dễ lắm mn,đặt_hàng dễ lắm mn,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,quảng cáo xàm trên Tiktok,1,negative,quảng cáo xàm trên tiktok,quảng_cáo xàm trên tiktok,vi,1,0,,0.0,Không rõ ràng,0.0,score_based,1.0
Tiki,"Mình đã vay ở VAY333. C0M thấy uy tín lắm, nên thử",5,positive,mình đã vay ở vay3 c0m thấy uy tín lắm nên thử,mình đã vay ở vay3 c0m thấy uy_tín lắm nên thử,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,tam ok,5,positive,tam ok,tam_ok,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Rất là ok siêu nhanh siêu tiện hi hi,5,positive,rất là ok siêu nhanh siêu tiện hi hi,rất là ok siêu nhanh siêu_tiện hi_hi,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Tiki,Ủng hộ sản phẩm Việt,5,positive,ủng hộ sản phẩm việt,ủng_hộ sản_phẩm việt,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,Shopee cậu tui làm việc trong shopee rất thân thiện hồi lúc mẹ tui đặt đồ chơi cho tui Shopee giao rất nhanh mới ba ngày là có nên đặt Shopee nhé các bạn,5,positive,shopee cậu tui làm việc trong shopee rất thân thiện hồi lúc mẹ tui đặt đồ chơi cho tui shopee giao rất nhanh mới ba ngày là có nên đặt shopee nhé các bạn,shopee cậu tui làm_việc trong shopee rất thân_thiện hồi lúc mẹ tui đặt đồ_chơi cho tui shopee giao rất nhanh mới ba ngày là có nên đặt shopee nhé các bạn,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
